,abnormal miniature excitatory postsynaptic currents:-log(OR_p),abnormal miniature excitatory postsynaptic currents:log_OR,abnormal miniature excitatory postsynaptic currents:num_genes,abnormal miniature excitatory postsynaptic currents:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal excitatory postsynaptic currents:-log(OR_p),abnormal excitatory postsynaptic currents:log_OR,abnormal excitatory postsynaptic currents:num_genes,abnormal excitatory postsynaptic currents:gene_ids,abnormal CNS synaptic transmission:-log(OR_p),abnormal CNS synaptic transmission:log_OR,abnormal CNS synaptic transmission:num_genes,abnormal CNS synaptic transmission:gene_ids,abnormal synaptic transmission:-log(OR_p),abnormal synaptic transmission:log_OR,abnormal synaptic transmission:num_genes,abnormal synaptic transmission:gene_ids,abnormal synaptic physiology:-log(OR_p),abnormal synaptic physiology:log_OR,abnormal synaptic physiology:num_genes,abnormal synaptic physiology:gene_ids,abnormal synaptic vesicle recycling:-log(OR_p),abnormal synaptic vesicle recycling:log_OR,abnormal synaptic vesicle recycling:num_genes,abnormal synaptic vesicle recycling:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,neuron degeneration:-log(OR_p),neuron degeneration:log_OR,neuron degeneration:num_genes,neuron degeneration:gene_ids,increased synaptic depression:-log(OR_p),increased synaptic depression:log_OR,increased synaptic depression:num_genes,increased synaptic depression:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C266,-0.0,0.0,0,,0.6262119454665809,0.9363969485330266,2,ATXN7 OFD1,-0.0,0.0,0,,0.289366405216782,0.688890424944411,1,ATXN7,0.2441577820447463,0.5991095528043644,1,ATXN7,0.2408078759067303,0.592265955706166,1,ATXN7,-0.0,0.0,0,,1.071340881611501,1.81891492703849,1,ATXN7,0.8582080149483561,1.5627794310000382,1,ATXN7,-0.0,0.0,0,,C266,1,0,0.1,0.0,0.0,0.9
C265,-0.0,0.0,0,,1.4873814900824631,1.4760475913209063,3,MACF1 SQSTM1 WDR45,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.071340881611501,1.81891492703849,1,WDR45,0.8582080149483561,1.5627794310000382,1,MACF1,-0.0,0.0,0,,C265,0,0,0.0,0.0,0.1,0.9
C255,-0.0,0.0,0,,0.11249487284984035,0.15325217107209532,4,ANXA11 CHCHD10 SOD1 STUB1,-0.0,0.0,0,,0.3396251400342416,-0.7531002340074817,1,WBP1L,0.3918742139624527,-0.8428891993420571,1,WBP1L,0.3959656651371663,-0.849733443671127,1,WBP1L,-0.0,0.0,0,,0.8831265862121975,1.099859746456998,2,ANXA11 SOD1,1.468658326970047,1.2783112998735646,3,ANXA11 SOD1 STUB1,-0.0,0.0,0,,C255,2,3,0.05128205128205128,0.07692307692307693,0.0,0.8717948717948718
C257,13.92697729244222,3.5880842980519096,6,DNM1 SCAMP5 SH3GL2 SNAP25 TSPAN7 UNC13A,6.576693678944356,1.9226160274348176,12,ATL1 DGKB DNM1 ELAVL4 GLRB KIF1A SEZ6 SH3GL2 STXBP1 SYN1 TSPAN7 UNC13A,7.618978692038864,3.0346527958694143,4,SCAMP5 SEZ6 SH3GL2 UNC13A,9.185819268327688,2.349121154713294,11,CCSAP DGKB DNM1 SCAMP5 SEZ6 SH3GL2 SNAP25 SYN1 SYP TSPAN7 UNC13A,9.86157086202938,2.400579610602157,12,CCSAP DGKB DNM1 SCAMP5 SEZ6 SH3GL2 SNAP25 STXBP1 SYN1 SYP TSPAN7 UNC13A,9.809340003528995,2.393669795371312,12,CCSAP DGKB DNM1 SCAMP5 SEZ6 SH3GL2 SNAP25 STXBP1 SYN1 SYP TSPAN7 UNC13A,17.103389538255705,5.023827248598441,4,DNM1 SH3GL2 SYN1 UNC13A,-0.0,0.0,0,,0.8994607446129363,1.1222517066752964,2,KIF1A STXBP1,8.500752155578972,4.636381308516016,2,SH3GL2 SYN1,calcium-ion regulated exocytosis,1,1,0.03333333333333333,0.03333333333333333,0.0,0.9333333333333333
C259,-0.0,0.0,0,,0.3077418839504973,0.42546636486174627,3,CHCHD10 SOD1 STUB1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.43574155010423676,0.9243932259690659,1,SOD1,1.2424671360670223,1.4103149078170691,2,SOD1 STUB1,-0.0,0.0,0,,C259,1,2,0.043478260869565216,0.08695652173913043,0.0,0.8695652173913043
C302,-0.0,0.0,0,,0.5385849367819804,1.2237754316221157,1,ANXA11,-0.0,0.0,0,,0.9147272087259011,1.7878394328479814,1,WBP1L,0.8490730354928262,1.6980602318654157,1,WBP1L,0.8441595679343491,1.6912167684127137,1,WBP1L,-0.0,0.0,0,,1.935489248385824,2.9178518910341262,1,ANXA11,1.6721112022995561,2.661718072676212,1,ANXA11,-0.0,0.0,0,,C302,0,1,0.0,0.25,0.0,0.75
C301,2.8120024745597108,3.55112808246976,1,UNC13A,0.3951320402014821,0.9360350007915148,1,UNC13A,2.744797629023918,3.4998332095458125,1,UNC13A,0.7450461641897872,1.5001012483966356,1,UNC13A,0.6833335889734622,1.4103217689661633,1,UNC13A,0.6787245490305899,1.4034782832454926,1,UNC13A,5.6115936201619245,5.363902924578394,1,UNC13A,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C301,0,1,0.0,0.2,0.0,0.8
C275,5.5509517203756245,3.84619376026944,2,SCAMP5 UNC13A,1.8821129646635595,1.812636561730847,3,DGKB KIF1A UNC13A,5.421079948527488,3.7945256432489245,2,SCAMP5 UNC13A,2.941321146601081,2.3775279699739382,3,DGKB SCAMP5 UNC13A,2.756737765428413,2.2875842519806886,3,DGKB SCAMP5 UNC13A,2.742917588609383,2.2807288405131274,3,DGKB SCAMP5 UNC13A,4.979518332719739,4.804127489993881,1,UNC13A,-0.0,0.0,0,,1.0456305008427367,1.8142026554514281,1,KIF1A,-0.0,0.0,0,,C275,1,1,0.125,0.125,0.0,0.75
C262,-0.0,0.0,0,,1.924741092982289,1.5128946132786272,4,CLEC16A FIG4 HERC1 SPG11,-0.0,0.0,0,,0.15480889731443856,0.4010399503479096,1,TBCK,0.11633447798448045,0.31125824220590026,1,TBCK,0.11349447871422097,0.30441457825101637,1,TBCK,-0.0,0.0,0,,2.5727351697570966,2.314290684661489,2,FIG4 SPG11,6.0249804902422985,2.9561078187773084,4,CLEC16A FIG4 HERC1 SPG11,-0.0,0.0,0,,C262,0,0,0.0,0.0,0.07692307692307693,0.9230769230769231
C274,-0.0,0.0,0,,0.139688592790623,0.37624411728264384,1,SOD1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.2748367858202707,2.0703375921416676,1,SOD1,1.0456305008427367,1.8142026554514281,1,SOD1,-0.0,0.0,0,,Huntington disease,0,1,0.0,0.125,0.0,0.875
C260,-0.0,0.0,0,,0.16544940429428595,0.30737958964503065,2,CHCHD10 STUB1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.4700239042659486,0.9870344062594594,1,STUB1,-0.0,0.0,0,,C260,1,1,0.058823529411764705,0.058823529411764705,0.0,0.8823529411764706
C264,-0.0,0.0,0,,0.042981105783598476,0.12481294158464173,1,CHCHD10,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C264,1,1,0.1,0.1,0.0,0.8
C280,-0.0,0.0,0,,2.1123414781124623,2.0358384748297773,3,CLEC16A HERC1 SPG11,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.4011843828098949,2.224542385987176,1,SPG11,5.257017976226819,3.4772777534326904,3,CLEC16A HERC1 SPG11,-0.0,0.0,0,,C280,0,0,0.0,0.0,0.14285714285714285,0.8571428571428572
C287,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C287,1,0,0.16666666666666666,0.0,0.0,0.8333333333333334
C296,-0.0,0.0,0,,0.3951320402014821,0.9360350007915148,1,ATXN7,-0.0,0.0,0,,0.7450461641897872,1.5001012483966356,1,ATXN7,0.6833335889734622,1.4103217689661633,1,ATXN7,0.6787245490305899,1.4034782832454926,1,ATXN7,-0.0,0.0,0,,1.7259616680242813,2.630115713347651,1,ATXN7,1.4698723129178655,2.3739816154521547,1,ATXN7,-0.0,0.0,0,,C296,1,0,0.2,0.0,0.0,0.8
C297,2.8120024745597108,3.55112808246976,1,UNC13A,1.4466731956116547,1.917518027501825,2,DGKB UNC13A,2.744797629023918,3.4998332095458125,1,UNC13A,2.1814715997962058,2.4819931560193282,2,DGKB UNC13A,2.0544731539165912,2.3921320541925795,2,DGKB UNC13A,2.044949651096076,2.385282644489732,2,DGKB UNC13A,5.6115936201619245,5.363902924578394,1,UNC13A,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C297,0,1,0.0,0.2,0.0,0.8
C292,-0.0,0.0,0,,2.552169191927948,2.729102368741863,3,CLEC16A HERC1 SPG11,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.7259616680242813,2.630115713347651,1,SPG11,5.2953046903226015,4.1705337005796475,3,CLEC16A HERC1 SPG11,-0.0,0.0,0,,C292,0,0,0.0,0.0,0.2,0.8
