,abnormal microglial cell morphology:-log(OR_p),abnormal microglial cell morphology:log_OR,abnormal microglial cell morphology:num_genes,abnormal microglial cell morphology:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,abnormal glial cell morphology:-log(OR_p),abnormal glial cell morphology:log_OR,abnormal glial cell morphology:num_genes,abnormal glial cell morphology:gene_ids,abnormal neuron apoptosis:-log(OR_p),abnormal neuron apoptosis:log_OR,abnormal neuron apoptosis:num_genes,abnormal neuron apoptosis:gene_ids,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,abnormal sphingomyelin level:-log(OR_p),abnormal sphingomyelin level:log_OR,abnormal sphingomyelin level:num_genes,abnormal sphingomyelin level:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,neuron degeneration:-log(OR_p),neuron degeneration:log_OR,neuron degeneration:num_genes,neuron degeneration:gene_ids,increased neuron apoptosis:-log(OR_p),increased neuron apoptosis:log_OR,increased neuron apoptosis:num_genes,increased neuron apoptosis:gene_ids,abnormal somatic nervous system morphology:-log(OR_p),abnormal somatic nervous system morphology:log_OR,abnormal somatic nervous system morphology:num_genes,abnormal somatic nervous system morphology:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C293,5.817641559442509,2.52884207212787,4,GALC GNS PRNP SCARB2,4.193155718515063,1.7259192882906866,6,AGA ATRN GALC GNS PRNP SCARB2,3.2469754517512572,1.4859216054720914,6,AGA ATRN GALC GNS PRNP SCARB2,0.06282160320209675,0.17125628838952878,1,PRNP,0.8445037588475038,1.4869158546790295,1,PRNP,2.5193235324514527,3.0991322888045048,1,GALC,1.5128577496153037,0.7158808141164563,11,AGA ATRN CD46 CLN5 ERC2 GALC NPTN PRNP RNF13 RTN4 SCARB2,1.3160546715751937,1.0233105911222307,4,AGA CD46 PRNP SCARB2,0.19696684272919288,0.479142532921939,1,PRNP,1.0814067178025453,0.6953926844396001,7,CCPG1 CD46 ERC2 GALC NPTN PRNP SCARB2,late endosome,3,2,0.045454545454545456,0.030303030303030304,0.015151515151515152,0.9090909090909091
C333,3.4552360482273556,4.143455341976196,1,GALC,1.935489248385824,2.9178518910341262,1,GALC,1.691301457306355,2.6810215287142913,1,GALC,-0.0,0.0,0,,-0.0,0.0,0,,6.706174300057658,6.178210064425829,1,GALC,0.5385849367819804,1.2237754316221157,1,GALC,-0.0,0.0,0,,-0.0,0.0,0,,0.8691626431750878,1.7258566050490316,1,GALC,C333,0,0,0.0,0.0,0.25,0.75
C308,-0.0,0.0,0,,1.2748367858202707,2.0703375921416676,1,ATRN,1.0621609698988834,1.8335062061102905,1,ATRN,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.8729621609162215,1.224195761587323,2,ATRN CLN5,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C308,1,0,0.125,0.0,0.0,0.875
C336,-0.0,0.0,0,,-0.0,0.0,0,,1.691301457306355,2.6810215287142913,1,CLN8,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.5385849367819804,1.2237754316221157,1,CLN8,1.6721112022995561,2.661718072676212,1,CLN8,-0.0,0.0,0,,2.3240352651716076,2.8254744090659107,2,CLN8 TMEM107,C336,0,0,0.0,0.0,0.25,0.75
C297,1.9087823941789372,2.6024224272446492,1,CERS6,2.31765674034719,2.147128339740558,2,CERS1 CERS6,1.9168249395990575,1.909671687599971,2,CERS1 CERS6,1.002940292491058,1.7093371136539321,1,CERS1,-0.0,0.0,0,,4.820964042168074,4.637179839261954,1,CERS4,0.11961214200446789,-0.31731173888213604,1,CERS1,0.5536357110895432,1.1206746364983697,1,CERS1,1.2845150894768516,2.0172140419131814,1,CERS1,-0.0,0.0,0,,Sphingolipid metabolism,0,1,0.0,0.06666666666666667,0.0,0.9333333333333333
C301,-0.0,0.0,0,,0.9141968893847752,1.6181359830375879,1,ATP13A2,0.7293364556256254,1.3813035728503333,1,ATP13A2,-0.0,0.0,0,,2.7211114864436494,3.2662930856649774,1,ATP13A2,-0.0,0.0,0,,0.025935126795044196,-0.07597451492615725,1,ATP13A2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C301,0,1,0.0,0.08333333333333333,0.08333333333333333,0.8333333333333334
C304,2.523440068165378,3.1623589164495893,1,CERS6,1.1660502805616542,1.9367520825704112,1,CERS6,0.9610465779918836,1.6999204405417316,1,CERS6,-0.0,0.0,0,,-0.0,0.0,0,,5.671001303236508,5.197114861038875,1,CERS4,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,Sphingolipid metabolism,0,1,0.0,0.1111111111111111,0.0,0.8888888888888888
C318,3.017865663577169,3.632522857769839,1,ACP2,3.8976345696819337,3.3262704149715523,2,ACP2 CLN3,3.432231045800976,3.0888160670567926,2,ACP2 CLN3,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.2221359400720981,1.6297775966712233,2,ACP2 CLN3,-0.0,0.0,0,,-0.0,0.0,0,,1.8576901359847213,2.132214628573405,2,CLN3 MCOLN1,C318,2,0,0.3333333333333333,0.0,0.0,0.6666666666666667
C310,2.832478429176296,3.4501478664732126,1,NEU1,3.667695921759,3.1030727554951127,2,HEXA NEU1,3.2018623780480637,2.86561815166635,2,HEXA NEU1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,2.1123414781124623,2.0358384748297773,3,COLQ HEXA NEU1,-0.0,0.0,0,,-0.0,0.0,0,,0.46940706985678093,1.0325405103252336,1,COLQ,"hydrolase activity, hydrolyzing O-glycosyl compounds",2,0,0.2857142857142857,0.0,0.0,0.7142857142857143
C334,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,Sphingolipid metabolism,1,0,0.25,0.0,0.0,0.75
