,neuron degeneration:-log(OR_p),neuron degeneration:log_OR,neuron degeneration:num_genes,neuron degeneration:gene_ids,dysmyelination:-log(OR_p),dysmyelination:log_OR,dysmyelination:num_genes,dysmyelination:gene_ids,abnormal central nervous system regeneration:-log(OR_p),abnormal central nervous system regeneration:log_OR,abnormal central nervous system regeneration:num_genes,abnormal central nervous system regeneration:gene_ids,abnormal nervous system dopamine level:-log(OR_p),abnormal nervous system dopamine level:log_OR,abnormal nervous system dopamine level:num_genes,abnormal nervous system dopamine level:gene_ids,increased susceptibility to dopaminergic neuron neurotoxicity:-log(OR_p),increased susceptibility to dopaminergic neuron neurotoxicity:log_OR,increased susceptibility to dopaminergic neuron neurotoxicity:num_genes,increased susceptibility to dopaminergic neuron neurotoxicity:gene_ids,abnormal Bergmann glial cell morphology:-log(OR_p),abnormal Bergmann glial cell morphology:log_OR,abnormal Bergmann glial cell morphology:num_genes,abnormal Bergmann glial cell morphology:gene_ids,abnormal neuron mitochondrial morphology:-log(OR_p),abnormal neuron mitochondrial morphology:log_OR,abnormal neuron mitochondrial morphology:num_genes,abnormal neuron mitochondrial morphology:gene_ids,abnormal myelin sheath morphology:-log(OR_p),abnormal myelin sheath morphology:log_OR,abnormal myelin sheath morphology:num_genes,abnormal myelin sheath morphology:gene_ids,abnormal synaptic plasticity:-log(OR_p),abnormal synaptic plasticity:log_OR,abnormal synaptic plasticity:num_genes,abnormal synaptic plasticity:gene_ids,decreased myelin sheath thickness:-log(OR_p),decreased myelin sheath thickness:log_OR,decreased myelin sheath thickness:num_genes,decreased myelin sheath thickness:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C102,1.3025238422911496,2.150783676407803,1,PLA2G6,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,3.415739082880433,3.911436166605255,1,PLA2G6,-0.0,0.0,0,,-0.0,0.0,0,,C102,0,2,0.0,0.3333333333333333,0.0,0.6666666666666667
C110,3.619203413629286,3.3572044355893293,2,PLA2G6 TUBB4A,5.773615572331783,5.459319521324398,1,TUBB4A,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,7.60209897348541,5.128938714849344,2,PLA2G6 TUBB4A,-0.0,0.0,0,,5.952663380595801,5.56478644260054,1,TUBB4A,C110,0,1,0.0,0.2,0.0,0.8
C104,1.3025238422911496,2.150783676407803,1,IRS2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,6.407855278257858,5.747373963916396,1,SLC22A3,6.275767485206712,5.667278068997148,1,PTK2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C104,0,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C105,1.3025238422911496,2.150783676407803,1,IRS2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C105,0,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C100,-0.0,0.0,0,,-0.0,0.0,0,,6.279920276471531,5.593223284089137,1,RTN4,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C100,0,1,0.0,0.125,0.0,0.875
C113,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C113,0,1,0.0,0.25,0.0,0.75
C108,1.4698723129178655,2.3739816154521547,1,POLG,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,6.376636975082383,5.816313648157636,1,POLG,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C108,0,0,0.0,0.0,0.2,0.8
C114,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C114,0,1,0.0,0.25,0.0,0.75
C109,-0.0,0.0,0,,-0.0,0.0,0,,6.925709235282623,6.152998616790501,1,RTN4,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C109,0,1,0.0,0.2,0.0,0.8
C115,1.6721112022995561,2.661718072676212,1,IRS2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C115,0,1,0.0,0.25,0.0,0.75
