"CD_AnnotatedAlgorithm","CD_AnnotatedMembers","CD_AnnotatedMembers_Overlap","CD_AnnotatedMembers_Pvalue","CD_AnnotatedMembers_Size","CD_AnnotatedMembers_SourceDB","CD_AnnotatedMembers_SourceTerm","CD_CommunityName","CD_Labeled","CD_MemberList","CD_MemberList_LogSize","CD_MemberList_Size","CD_NonAnnotatedMembers","HiDeF_persistence","name","NumChildren","NumDescendents","selected","shared name"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","","0.0","1.0","0","","","(none)","false","ATP6V0C CD63 CST3 CTSA CTSD GRN MAN2B1 MTCH1 NPC2","3.17","9","","9","C159539",,,"false","C159539"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","","0.0","1.0","0","","","(none)","false","ADAM15 AGRN CAPN1 MAN2C1 MPST PLPPR2 RFNG SH3GLB2 USF2","3.17","9","","12","C159538",,,"false","C159538"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","","0.0","1.0","0","","","(none)","false","CCDC92 CTDSP1 MAN1B1 MXD4 ORAI3 PBXIP1 SIPA1 SPATA20 TCTA VEGFB","3.322","10","","5","C159537",,,"false","C159537"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","ATP6V0D1 ATP6V1B2 LAMP2","0.07","6.18473306218797E-6","3","GO:BP","GO:0007035","vacuolar acidification","true","ACD ATP6V0D1 ATP6V1B2 CANX DDOST FBXO6 GLB1 HSPA5 LAMP2 SCARB2","3.322","10","ACD CANX DDOST FBXO6 GLB1 HSPA5 SCARB2","9","C159536",,,"false","C159536"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","FADS1 FADS2","0.2","5.672751449992308E-6","2","GO:MF","GO:0016213","acyl-CoA 6-desaturase activity","true","DHCR24 FADS1 FADS2 GK HMGCS1 NPC1 PCSK9 SREBF1 TFAP2A VLDLR","3.322","10","DHCR24 GK HMGCS1 NPC1 PCSK9 SREBF1 TFAP2A VLDLR","12","C159535",,,"false","C159535"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","MCOLN3 TRPC6 TRPV6","0.086","9.464052504562901E-7","3","REAC","REAC:R-HSA-3295583","TRP channels","true","GRINA MCOLN3 NDFIP1 PKD2L1 PKD2L2 SLC35E1 STEAP3 TMEM175 TRPC6 TRPV6","3.322","10","GRINA NDFIP1 PKD2L1 PKD2L2 SLC35E1 STEAP3 TMEM175","47","C159534",,,"false","C159534"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","","0.0","1.0","0","","","(none)","false","ARHGAP17 HGSNAT KLC1 MTX1 PEBP4 PKD1L1 PKD1L3 RDH11 SNAPIN TLCD2 TMEM246","3.459","11","","5","C159533",,,"false","C159533"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","","0.0","1.0","0","","","(none)","false","ATF5 DDIT3 ENC1 ETS2 GAMT GGT5 IGFBP2 MALAT1 MMP3 NOTCH3 TFPI","3.459","11","","6","C159532",,,"false","C159532"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","","0.0","1.0","0","","","(none)","false","BDH2 CTSF FCSK FMR1 LINC00846 METTL7A OGA PIK3IP1 PLAAT3 PSAPL1 PTGDS","3.459","11","","6","C159531",,,"false","C159531"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","CD74 HLA-DMA HLA-DMB HLA-DPB1 HLA-DRB1","0.217","2.024761413107874E-14","5","GO:CC","GO:0042613","MHC class II protein complex","true","CD74 CTSH CYBA HLA-C HLA-DMA HLA-DMB HLA-DPB1 HLA-DRB1 LGALS9 TYMP UCP2","3.459","11","CTSH CYBA HLA-C LGALS9 TYMP UCP2","24","C159530",,,"false","C159530"
