,abnormal radial glial cell morphology:-log(OR_p),abnormal radial glial cell morphology:log_OR,abnormal radial glial cell morphology:num_genes,abnormal radial glial cell morphology:gene_ids,abnormal retina neuronal layer morphology:-log(OR_p),abnormal retina neuronal layer morphology:log_OR,abnormal retina neuronal layer morphology:num_genes,abnormal retina neuronal layer morphology:gene_ids,abnormal synaptic transmission:-log(OR_p),abnormal synaptic transmission:log_OR,abnormal synaptic transmission:num_genes,abnormal synaptic transmission:gene_ids,abnormal synaptic physiology:-log(OR_p),abnormal synaptic physiology:log_OR,abnormal synaptic physiology:num_genes,abnormal synaptic physiology:gene_ids,abnormal neuronal precursor cell number:-log(OR_p),abnormal neuronal precursor cell number:log_OR,abnormal neuronal precursor cell number:num_genes,abnormal neuronal precursor cell number:gene_ids,abnormal sensory neuron morphology:-log(OR_p),abnormal sensory neuron morphology:log_OR,abnormal sensory neuron morphology:num_genes,abnormal sensory neuron morphology:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,increased neuronal precursor cell number:-log(OR_p),increased neuronal precursor cell number:log_OR,increased neuronal precursor cell number:num_genes,increased neuronal precursor cell number:gene_ids,abnormal CNS synaptic transmission:-log(OR_p),abnormal CNS synaptic transmission:log_OR,abnormal CNS synaptic transmission:num_genes,abnormal CNS synaptic transmission:gene_ids,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C167,-0.0,0.0,0,,2.113528159269934,2.0527045648943885,2,ROM1 SLC24A1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.9086999174429433,1.9269608193992456,2,ROM1 SLC24A1,0.44580337915623247,0.7066218791433059,2,ROM1 SLC24A1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C167,0,3,0.0,0.23076923076923078,0.0,0.7692307692307692
C171,-0.0,0.0,0,,0.8544428949586502,1.5580086098858512,1,ROM1,0.3005157587780834,0.7103382847686124,1,ITPR1,0.2976955044255683,0.7049375746673157,1,ITPR1,-0.0,0.0,0,,0.7580824610567205,1.4325337537699205,1,ROM1,0.07600204056081684,0.21361548263360142,1,ROM1,-0.0,0.0,0,,0.35212940574863794,0.806406675693264,1,ITPR1,-0.0,0.0,0,,C171,0,1,0.0,0.1,0.0,0.9
C182,-0.0,0.0,0,,-0.0,0.0,0,,3.2194232461166634,2.6222165814624834,3,SLC24A4 SLC24A5 SLC8A3,3.208128542908984,2.6168054412528043,3,SLC24A4 SLC24A5 SLC8A3,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.8989893237803634,2.088689190601496,2,SLC24A4 SLC24A5,-0.0,0.0,0,,calcium ion transmembrane transporter activity,1,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C164,11.835264546443748,4.5754927560209016,3,HSPG2 ITGB1 ITGB8,4.179626303228283,2.2035455469339977,4,AMIGO2 ITGB2 ITGB8 PXDN,0.06696830440770536,-0.1842087199770006,1,HSPG2,0.06907267996841403,-0.189609634608237,1,HSPG2,1.8170891696662308,2.4981839163528337,1,DLL1,3.7746822156768634,2.0772598019685553,4,AMIGO2 DLL1 ITGB2 PXDN,4.333292195885287,1.7864130219864531,8,AMIGO2 DLL1 HSPG2 ITGB1 ITGB2 ITGB8 PXDN VCAN,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,protein complex involved in cell adhesion,1,2,0.043478260869565216,0.08695652173913043,0.0,0.8695652173913043
C183,-0.0,0.0,0,,1.1589441484668348,1.963636925567208,1,SLC24A1,3.2194232461166634,2.6222165814624834,3,NALCN SLC24A4 SLC24A5,3.208128542908984,2.6168054412528043,3,NALCN SLC24A4 SLC24A5,-0.0,0.0,0,,1.0502185366312229,1.8381625681893272,1,SLC24A1,0.24676461653487464,0.6192543778529931,1,SLC24A1,-0.0,0.0,0,,1.8989893237803634,2.088689190601496,2,SLC24A4 SLC24A5,-0.0,0.0,0,,calcium ion transmembrane transporter activity,1,1,0.14285714285714285,0.14285714285714285,0.0,0.7142857142857143
C184,-0.0,0.0,0,,-0.0,0.0,0,,0.6268310152960626,1.2983491900573654,1,TMEM175,0.6232525294319131,1.2929485428283822,1,TMEM175,-0.0,0.0,0,,-0.0,0.0,0,,0.33308092757312613,0.8016338569731243,1,TMEM175,-0.0,0.0,0,,0.6919314817375931,1.3944165175198169,1,TMEM175,3.7255101029102304,4.11879724199251,1,TMEM175,C184,0,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C201,-0.0,0.0,0,,3.7584418644189457,3.757942253225825,2,BBS12 NPHP1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,3.5448130096305674,3.6322000037818816,2,BBS12 NPHP1,1.798412314363572,2.411891302525696,2,BBS12 NPHP1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C201,0,1,0.0,0.25,0.0,0.75
C169,-0.0,0.0,0,,2.396419081542129,2.2534840802053875,2,ROM1 SLC24A1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,2.1814184353906194,2.1277406672928763,2,ROM1 SLC24A1,0.6090454541861287,0.9074084494607426,2,ROM1 SLC24A1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C169,0,3,0.0,0.2727272727272727,0.0,0.7272727272727273
C194,-0.0,0.0,0,,3.610358024771519,3.3524227573875187,2,BBS12 RAB23,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.347315491744858,2.2437367989514643,1,BBS12,1.5524570577514438,2.0063682821545923,2,BBS12 MSRB3,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C194,1,1,0.2,0.2,0.0,0.6
C188,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C188,0,1,0.0,0.2,0.0,0.8
C176,-0.0,0.0,0,,2.7403029711705247,2.504907316494669,2,ROM1 SLC24A1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,2.51543695701523,2.379164236092307,2,ROM1 SLC24A1,0.8280148298178881,1.1588387391715074,2,ROM1 SLC24A1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,visual perception,0,3,0.0,0.3333333333333333,0.0,0.6666666666666667
C186,-0.0,0.0,0,,1.2981166477317108,2.146012878966829,1,ROM1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.1847676299935235,2.0205386877987372,1,ROM1,0.33308092757312613,0.8016338569731243,1,ROM1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C186,0,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C178,-0.0,0.0,0,,-0.0,0.0,0,,0.4335224182936257,0.9617648395283034,1,ITPR1,0.4303591671192936,0.9563641608666895,1,ITPR1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.49125140578108156,1.057832698662379,1,ITPR1,-0.0,0.0,0,,C178,0,1,0.0,0.125,0.0,0.875
C196,5.254665203711798,5.308214464854814,1,CDH2,1.6673849340874012,2.6569472870679824,1,ATF6,-0.0,0.0,0,,-0.0,0.0,0,,3.9616534765867932,4.491628144588962,1,CDH2,1.5454329903426542,2.531473428265148,1,ATF6,1.798412314363572,2.411891302525696,2,ATF6 CDH2,5.906002021640705,5.698211429606746,1,CDH2,-0.0,0.0,0,,-0.0,0.0,0,,C196,0,1,0.0,0.25,0.0,0.75
C204,-0.0,0.0,0,,3.7584418644189457,3.757942253225825,2,ROM1 SLC24A1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,3.5448130096305674,3.6322000037818816,2,ROM1 SLC24A1,1.798412314363572,2.411891302525696,2,ROM1 SLC24A1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C204,0,1,0.0,0.25,0.0,0.75
C202,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C202,0,1,0.0,0.25,0.0,0.75
