"","shared_name","comparison","d2_name","d1_seeds","d2_seeds","z_both","AD_lyso_seed_both","AD_lyso_seed_AD","AD_lyso_seed_lyso","AD_lyso_noseed","DLB_lyso_seed_both","DLB_lyso_seed_AD","DLB_lyso_seed_lyso","DLB_lyso_noseed"
"158","TGM2","CD_1A_lyso_DLB","DLB",0,0,4.21938408255775,0,0,0,0,0,0,0,1
"159","ATP10A","CD_1A_lyso_AD","AD",0,0,4.24697826476378,0,0,0,1,0,0,0,0
"160","ANAPC13","CD_1A_lyso_AD","AD",0,0,4.24877523569767,0,0,0,1,0,0,0,0
"161","ZBTB17","CD_1A_lyso_DLB","DLB",0,0,4.25950500339289,0,0,0,0,0,0,0,1
"162","PXDC1","CD_1A_lyso_AD","AD",0,0,4.26046116579873,0,0,0,1,0,0,0,0
"163","TAX1BP3","CD_1A_lyso_AD","AD",0,0,4.27388516685651,0,0,0,1,0,0,0,0
"164","PGPEP1","CD_1A_lyso_AD","AD",0,0,4.27820973117712,0,0,0,1,0,0,0,0
"165","CD14","CD_1A_lyso_DLB","DLB",0,0,4.2836705238847,0,0,0,0,0,0,0,1
"166","NDST2","CD_1A_lyso_DLB","DLB",0,0,4.29656087508253,0,0,0,0,0,0,0,1
"167","TCTA","CD_1A_lyso_DLB","DLB",0,0,4.30613547355845,0,0,0,0,0,0,0,1
"168","HBA1","CD_1A_lyso_DLB","DLB",0,0,4.30842574159073,0,0,0,0,0,0,0,1
"169","STK10","CD_1A_lyso_DLB","DLB",0,0,4.30925033362911,0,0,0,0,0,0,0,1
"170","CHID1","CD_1A_lyso_DLB","DLB",0,0,4.31081920718609,0,0,0,0,0,0,0,1
"171","VPS9D1","CD_1A_lyso_DLB","DLB",0,0,4.34612253817541,0,0,0,0,0,0,0,1
"172","CD163","CD_1A_lyso_AD","AD",0,0,4.35708048102758,0,0,0,1,0,0,0,0
"173","HLA-DPA1","CD_1A_lyso_AD","AD",0,0,4.35985838220075,0,0,0,1,0,0,0,0
"174","AGRN","CD_1A_lyso_DLB","DLB",0,0,4.36132672424255,0,0,0,0,0,0,0,1
"175","FADS1","CD_1A_lyso_DLB","DLB",0,0,4.37102679114387,0,0,0,0,0,0,0,1
"176","NFKBIL1","CD_1A_lyso_AD","AD",0,0,4.38802874082982,0,0,0,1,0,0,0,0
"177","CHKB","CD_1A_lyso_DLB","DLB",0,0,4.41555750949024,0,0,0,0,0,0,0,1
"178","TLR2","CD_1A_lyso_AD","AD",0,0,4.41782057472068,0,0,0,1,0,0,0,0
"179","RGS4","CD_1A_lyso_DLB","DLB",0,0,4.42543311452698,0,0,0,0,0,0,0,1
"180","VLDLR","CD_1A_lyso_AD","AD",0,0,4.42949040481304,0,0,0,1,0,0,0,0
"181","SLC25A22","CD_1A_lyso_DLB","DLB",0,0,4.4311108604391,0,0,0,0,0,0,0,1
"182","RABEP2","CD_1A_lyso_DLB","DLB",0,0,4.44372046699875,0,0,0,0,0,0,0,1
"183","USF2","CD_1A_lyso_DLB","DLB",0,0,4.45110858535227,0,0,0,0,0,0,0,1
"184","CFB","CD_1A_lyso_DLB","DLB",0,0,4.46428535754585,0,0,0,0,0,0,0,1
"185","ADAP2","CD_1A_lyso_DLB","DLB",0,0,4.4713943778513,0,0,0,0,0,0,0,1
"186","KCNIP3","CD_1A_lyso_AD","AD",0,0,4.48593378811972,0,0,0,1,0,0,0,0
"187","IFNGR1","CD_1A_lyso_AD","AD",0,0,4.48976372020752,0,0,0,1,0,0,0,0
"188","LYZ","CD_1A_lyso_AD","AD",0,0,4.49407276652765,0,0,0,1,0,0,0,0
"189","B2M","CD_1A_lyso_DLB","DLB",0,0,4.50098396946226,0,0,0,0,0,0,0,1
"190","SNCG","CD_1A_lyso_AD","AD",0,0,4.52104274803282,0,0,0,1,0,0,0,0
"191","IDH1","CD_1A_lyso_DLB","DLB",0,0,4.54766371935853,0,0,0,0,0,0,0,1
"192","RSRP1","CD_1A_lyso_AD","AD",0,0,4.55370128409982,0,0,0,1,0,0,0,0
"193","UNC93B1","CD_1A_lyso_AD","AD",0,0,4.55482641205325,0,0,0,1,0,0,0,0
"194","CD74","CD_1A_lyso_AD","AD",0,0,4.55899178856957,0,0,0,1,0,0,0,0
"195","NDUFV3","CD_1A_lyso_AD","AD",0,0,4.56776493111283,0,0,0,1,0,0,0,0
"196","PAPSS1","CD_1A_lyso_AD","AD",0,0,4.57152661397496,0,0,0,1,0,0,0,0
"197","MMP3","CD_1A_lyso_DLB","DLB",0,0,4.5741747016779,0,0,0,0,0,0,0,1
"198","PABPC1P1","CD_1A_lyso_AD","AD",0,0,4.5748354858012,0,0,0,1,0,0,0,0
"199","TADA2A","CD_1A_lyso_AD","AD",0,0,4.57483548580124,0,0,0,1,0,0,0,0
"200","SPHK1","CD_1A_lyso_DLB","DLB",0,0,4.57536593814765,0,0,0,0,0,0,0,1
"201","P4HA2","CD_1A_lyso_AD","AD",0,0,4.57582999811201,0,0,0,1,0,0,0,0
"202","MAGED2","CD_1A_lyso_DLB","DLB",0,0,4.58311317832292,0,0,0,0,0,0,0,1
"203","HLA-DMB","CD_1A_lyso_DLB","DLB",0,0,4.5986469255966,0,0,0,0,0,0,0,1
"204","VLDLR","CD_1A_lyso_DLB","DLB",0,0,4.60743210059836,0,0,0,0,0,0,0,1
"205","SH3GLB2","CD_1A_lyso_DLB","DLB",0,0,4.61919657754438,0,0,0,0,0,0,0,1
"206","CD302","CD_1A_lyso_AD","AD",0,0,4.63383328755389,0,0,0,1,0,0,0,0
"207","SCAMP3","CD_1A_lyso_AD","AD",0,0,4.6389401598476,0,0,0,1,0,0,0,0
"208","CABIN1","CD_1A_lyso_DLB","DLB",0,0,4.64594055059657,0,0,0,0,0,0,0,1
"209","TYMP","CD_1A_lyso_DLB","DLB",0,0,4.64852290357878,0,0,0,0,0,0,0,1
"210","GIMAP8","CD_1A_lyso_AD","AD",0,0,4.65665765923777,0,0,0,1,0,0,0,0
"211","TNFRSF14","CD_1A_lyso_AD","AD",0,0,4.66219552484919,0,0,0,1,0,0,0,0
"212","SLC39A7","CD_1A_lyso_AD","AD",0,0,4.66332286151959,0,0,0,1,0,0,0,0
"213","KLC1","CD_1A_lyso_DLB","DLB",0,0,4.67728142396686,0,0,0,0,0,0,0,1
"214","PKD1","CD_1A_lyso_DLB","DLB",0,0,4.68431956874375,0,0,0,0,0,0,0,1
"215","CDS2","CD_1A_lyso_DLB","DLB",0,0,4.69886172694877,0,0,0,0,0,0,0,1
"216","SPATA20","CD_1A_lyso_AD","AD",0,0,4.70357987311585,0,0,0,1,0,0,0,0
"217","ZBTB43","CD_1A_lyso_AD","AD",0,0,4.71598796515175,0,0,0,1,0,0,0,0
"218","HMGCS1","CD_1A_lyso_DLB","DLB",0,0,4.72867661338764,0,0,0,0,0,0,0,1
"219","SLC1A3","CD_1A_lyso_AD","AD",0,0,4.74288111610192,0,0,0,1,0,0,0,0
"220","COMT","CD_1A_lyso_AD","AD",0,0,4.74399706003483,0,0,0,1,0,0,0,0
"221","PECAM1","CD_1A_lyso_AD","AD",0,0,4.7811824901414,0,0,0,1,0,0,0,0
"222","HFE","CD_1A_lyso_DLB","DLB",0,0,4.7830036147058,0,0,0,0,0,0,0,1
"223","NECAP2","CD_1A_lyso_DLB","DLB",0,0,4.8102342809332,0,0,0,0,0,0,0,1
"224","VPS41","CD_1A_lyso_AD","AD",0,0,4.81906321269075,0,0,0,1,0,0,0,0
"225","IFI30","CD_1A_lyso_AD","AD",0,0,4.82737510844667,0,0,0,1,0,0,0,0
"226","ETS2","CD_1A_lyso_DLB","DLB",0,0,4.83127277954039,0,0,0,0,0,0,0,1
"227","PPARG","CD_1A_lyso_DLB","DLB",0,0,4.85299673866212,0,0,0,0,0,0,0,1
"228","DNM2","CD_1A_lyso_AD","AD",0,0,4.86506951098121,0,0,0,1,0,0,0,0
"229","BORCS7","CD_1A_lyso_AD","AD",0,0,4.89291678065368,0,0,0,1,0,0,0,0
"230","FAM193B","CD_1A_lyso_DLB","DLB",0,0,4.89339382813802,0,0,0,0,0,0,0,1
"231","ACADM","CD_1A_lyso_AD","AD",0,0,4.90126750808864,0,0,0,1,0,0,0,0
"232","VAMP8","CD_1A_lyso_AD","AD",0,0,4.9149304752102,0,0,0,1,0,0,0,0
"233","BAX","CD_1A_lyso_AD","AD",0,0,4.92372691725624,0,0,0,1,0,0,0,0
"234","SLITRK4","CD_1A_lyso_AD","AD",0,0,4.92687146879566,0,0,0,1,0,0,0,0
"235","PDE4DIP","CD_1A_lyso_DLB","DLB",0,0,4.92750789650177,0,0,0,0,0,0,0,1
"236","SLC25A13","CD_1A_lyso_DLB","DLB",0,0,4.93097635518863,0,0,0,0,0,0,0,1
"237","ARPC1B","CD_1A_lyso_AD","AD",0,0,4.93293914555873,0,0,0,1,0,0,0,0
"238","VAMP3","CD_1A_lyso_DLB","DLB",0,0,4.93369388227098,0,0,0,0,0,0,0,1
"239","SMPDL3A","CD_1A_lyso_AD","AD",0,0,4.93979735542592,0,0,0,1,0,0,0,0
"240","HLA-DRA","CD_1A_lyso_AD","AD",0,0,4.94811343307694,0,0,0,1,0,0,0,0
"241","CHIT1","CD_1A_lyso_AD","AD",0,0,4.95455402462734,0,0,0,1,0,0,0,0
"242","ZNF224","CD_1A_lyso_AD","AD",0,0,4.96211206450206,0,0,0,1,0,0,0,0
"243","VAMP8","CD_1A_lyso_DLB","DLB",0,0,4.96305147955166,0,0,0,0,0,0,0,1
"244","MTX1","CD_1A_lyso_AD","AD",0,0,4.96380478164238,0,0,0,1,0,0,0,0
"245","TGFBI","CD_1A_lyso_DLB","DLB",0,0,4.97511311752969,0,0,0,0,0,0,0,1
