,abnormal miniature excitatory postsynaptic currents:-log(OR_p),abnormal miniature excitatory postsynaptic currents:log_OR,abnormal miniature excitatory postsynaptic currents:num_genes,abnormal miniature excitatory postsynaptic currents:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal synaptic physiology:-log(OR_p),abnormal synaptic physiology:log_OR,abnormal synaptic physiology:num_genes,abnormal synaptic physiology:gene_ids,abnormal synaptic transmission:-log(OR_p),abnormal synaptic transmission:log_OR,abnormal synaptic transmission:num_genes,abnormal synaptic transmission:gene_ids,abnormal CNS synaptic transmission:-log(OR_p),abnormal CNS synaptic transmission:log_OR,abnormal CNS synaptic transmission:num_genes,abnormal CNS synaptic transmission:gene_ids,abnormal nervous system electrophysiology:-log(OR_p),abnormal nervous system electrophysiology:log_OR,abnormal nervous system electrophysiology:num_genes,abnormal nervous system electrophysiology:gene_ids,abnormal excitatory postsynaptic currents:-log(OR_p),abnormal excitatory postsynaptic currents:log_OR,abnormal excitatory postsynaptic currents:num_genes,abnormal excitatory postsynaptic currents:gene_ids,abnormal neuron physiology:-log(OR_p),abnormal neuron physiology:log_OR,abnormal neuron physiology:num_genes,abnormal neuron physiology:gene_ids,abnormal synaptic vesicle recycling:-log(OR_p),abnormal synaptic vesicle recycling:log_OR,abnormal synaptic vesicle recycling:num_genes,abnormal synaptic vesicle recycling:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C278,1.9100407666044508,2.6345161170560605,1,TSPAN7,2.3084699729316833,1.7643257889766293,4,SEZ6 SQSTM1 TSPAN7 WDR45,0.9993871362010263,1.2863318317831833,2,SEZ6 TSPAN7,1.007234974686368,1.2931813751315282,2,SEZ6 TSPAN7,1.1128446913379932,1.3830441481157578,2,SEZ6 TSPAN7,0.9289074671580215,1.6426071699040268,1,TSPAN7,1.8511889972921487,2.5832211236974922,1,SEZ6,-0.0,0.0,0,,-0.0,0.0,0,,0.9880644976283347,1.7135002885760056,1,WDR45,C278,0,0,0.0,0.0,0.09090909090909091,0.9090909090909091
C283,-0.0,0.0,0,,3.8314147129489875,2.547856704580891,5,APBB2 ATRN ATXN7 KLC1 MEGF8,0.2981166644465131,0.7101054199944521,1,ATXN7,0.30167159305222824,0.7169489948121193,1,ATXN7,0.3495805335182578,0.8067295883475598,1,ATXN7,-0.0,0.0,0,,-0.0,0.0,0,,0.6092780231629331,1.231663644139557,1,KLC1,-0.0,0.0,0,,3.238858308545929,2.7664922937655687,2,ATRN ATXN7,C283,1,0,0.1111111111111111,0.0,0.0,0.8888888888888888
C285,-0.0,0.0,0,,1.6732280737858982,1.6302566397458769,3,ATRN ATXN7 MEGF8,0.2981166644465131,0.7101054199944521,1,ATXN7,0.30167159305222824,0.7169489948121193,1,ATXN7,0.3495805335182578,0.8067295883475598,1,ATXN7,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,3.238858308545929,2.7664922937655687,2,ATRN ATXN7,C285,1,0,0.1111111111111111,0.0,0.0,0.8888888888888888
C326,-0.0,0.0,0,,0.5385849367819804,1.2237754316221157,1,CHN1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.8606970039367674,2.8469592649608515,1,CHN1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C326,1,0,0.25,0.0,0.0,0.75
C268,1.9587628678354168,1.8517271532891755,2,GRIA1 SLC12A5,7.362637903557304,1.7011708579877283,16,ASTN1 ATP1B2 CHN1 DGKB GABBR2 GPR158 GRIA1 GRIA2 KCNB1 KCND2 KCNJ10 KCNJ6 NTRK2 OLIG1 SLC12A5 SLC1A2,11.546459085345413,2.173565984070734,16,DGKB GABBR2 GPR158 GRIA1 GRIA2 GRIK5 KCNA1 KCNA2 KCND2 KCNJ10 KCNJ6 NELL2 NTRK2 OLIG1 SLC12A5 SLC1A2,10.348366134235345,2.0821788212679175,15,DGKB GABBR2 GPR158 GRIA1 GRIA2 GRIK5 KCNA1 KCNA2 KCND2 KCNJ10 KCNJ6 NELL2 NTRK2 OLIG1 SLC12A5,9.895459022154087,2.0713093677570047,14,DGKB GABBR2 GPR158 GRIA1 GRIA2 GRIK5 KCNA1 KCNA2 KCNJ10 KCNJ6 NELL2 NTRK2 OLIG1 SLC12A5,15.064294244870476,2.8147946906969583,11,CHN1 GABBR2 GRIA2 KCNA1 KCNA2 KCNC2 KCNJ10 KCNJ6 KCNQ3 SLC12A5 SLC1A2,8.268411716053311,2.808789050982333,5,GABBR2 GPR158 GRIA2 GRIK5 KCNJ10,1.9652002394107102,1.2112117190805805,5,ASTN1 GRIA2 KCNQ3 NTRK2 SLC4A10,-0.0,0.0,0,,7.639843558947351,2.3150453666499935,7,ERCC2 GRIA2 KCNA1 KCNJ10 KCNQ3 NTRK2 OLIG1,Potassium Channels,2,0,0.043478260869565216,0.0,0.0,0.9565217391304348
C302,6.130263248014505,4.539501536102876,2,SCAMP5 UNC13A,1.4466731956116547,1.917518027501825,2,GPR158 UNC13A,3.3327864945592016,3.197188810533965,3,GPR158 SCAMP5 UNC13A,3.3450061825532478,3.2040441551976215,3,GPR158 SCAMP5 UNC13A,3.5074392953301814,3.2939870378471428,3,GPR158 SCAMP5 UNC13A,1.6530764241590206,2.5592230169259933,1,SCAMP5,8.145540536532831,5.305985731068302,3,GPR158 SCAMP5 UNC13A,1.0690453247381124,1.9250311982335315,1,UNC13A,5.6115936201619245,5.363902924578394,1,UNC13A,-0.0,0.0,0,,C302,0,1,0.0,0.2,0.0,0.8
C272,-0.0,0.0,0,,0.2366393521753823,-0.5688597710886523,1,PTPRS,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.16571916100761155,0.42018228152479686,1,PTPRS,-0.0,0.0,0,,-0.0,0.0,0,,C272,1,1,0.05263157894736842,0.05263157894736842,0.0,0.8947368421052632
C291,-0.0,0.0,0,,0.20519836781428574,0.5304531657076126,1,OLIG1,0.4488530827411688,0.997900340158365,1,OLIG1,0.4528857605849056,1.004743870422507,1,OLIG1,0.5070697616795914,1.0945239068427846,1,OLIG1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,3.667695921759,3.1030727554951127,2,ERCC2 OLIG1,C291,1,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C318,-0.0,0.0,0,,1.6942673830633477,2.323041490583309,2,GABBR2 GPR158,2.2773772502968024,2.7908041621311224,2,GABBR2 GPR158,2.286557132609024,2.7976535495685146,2,GABBR2 GPR158,2.4087170320411935,2.8875143729786776,2,GABBR2 GPR158,1.8606970039367674,2.8469592649608515,1,GABBR2,5.965184036572556,4.893352133481525,2,GABBR2 GPR158,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C318,1,0,0.25,0.0,0.0,0.75
C274,-0.0,0.0,0,,0.08894541974844229,-0.24314537427270366,1,CHCHD10,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C274,1,1,0.07142857142857142,0.07142857142857142,0.0,0.8571428571428572
C282,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C282,1,1,0.1111111111111111,0.1111111111111111,0.0,0.7777777777777778
C298,-0.0,0.0,0,,1.4466731956116547,1.917518027501825,2,SQSTM1 WDR45,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.7259616680242813,2.630115713347651,1,WDR45,C298,0,0,0.0,0.0,0.2,0.8
C287,-0.0,0.0,0,,0.139688592790623,0.37624411728264384,1,CHCHD10,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C287,1,1,0.125,0.125,0.0,0.75
C284,-0.0,0.0,0,,0.739309355702564,1.0699867131623524,2,LGI3 OLIG1,0.2981166644465131,0.7101054199944521,1,OLIG1,0.30167159305222824,0.7169489948121193,1,OLIG1,0.3495805335182578,0.8067295883475598,1,OLIG1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,3.238858308545929,2.7664922937655687,2,ERCC2 OLIG1,C284,1,0,0.1111111111111111,0.0,0.0,0.8888888888888888
C312,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C312,1,0,0.25,0.0,0.0,0.75
C297,-0.0,0.0,0,,2.552169191927948,2.729102368741863,3,ATRN ATXN7 MEGF8,0.6787245490305899,1.4034782832454926,1,ATXN7,0.6833335889734622,1.4103217689661633,1,ATXN7,0.7450461641897872,1.5001012483966356,1,ATXN7,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,4.110118114645468,3.6140065926580274,2,ATRN ATXN7,C297,1,0,0.2,0.0,0.0,0.8
C303,-0.0,0.0,0,,0.3951320402014821,0.9360350007915148,1,OLIG1,0.6787245490305899,1.4034782832454926,1,OLIG1,0.6833335889734622,1.4103217689661633,1,OLIG1,0.7450461641897872,1.5001012483966356,1,OLIG1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,4.110118114645468,3.6140065926580274,2,ERCC2 OLIG1,C303,1,0,0.2,0.0,0.0,0.8
