,abnormal brain interneuron morphology:-log(OR_p),abnormal brain interneuron morphology:log_OR,abnormal brain interneuron morphology:num_genes,abnormal brain interneuron morphology:gene_ids,abnormal myelination:-log(OR_p),abnormal myelination:log_OR,abnormal myelination:num_genes,abnormal myelination:gene_ids,abnormal excitatory postsynaptic potential:-log(OR_p),abnormal excitatory postsynaptic potential:log_OR,abnormal excitatory postsynaptic potential:num_genes,abnormal excitatory postsynaptic potential:gene_ids,abnormal CNS synaptic transmission:-log(OR_p),abnormal CNS synaptic transmission:log_OR,abnormal CNS synaptic transmission:num_genes,abnormal CNS synaptic transmission:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal oligodendrocyte physiology:-log(OR_p),abnormal oligodendrocyte physiology:log_OR,abnormal oligodendrocyte physiology:num_genes,abnormal oligodendrocyte physiology:gene_ids,abnormal glial cell physiology:-log(OR_p),abnormal glial cell physiology:log_OR,abnormal glial cell physiology:num_genes,abnormal glial cell physiology:gene_ids,abnormal synaptic transmission:-log(OR_p),abnormal synaptic transmission:log_OR,abnormal synaptic transmission:num_genes,abnormal synaptic transmission:gene_ids,abnormal synaptic physiology:-log(OR_p),abnormal synaptic physiology:log_OR,abnormal synaptic physiology:num_genes,abnormal synaptic physiology:gene_ids,dysmyelination:-log(OR_p),dysmyelination:log_OR,dysmyelination:num_genes,dysmyelination:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C287,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C287,1,0,0.1,0.0,0.0,0.9
C274,14.841739859555094,3.972600914332123,5,BRINP1 DCX GRIA2 LAMP5 TBR1,1.4463142316633573,1.5247235718431753,2,GFAP NTRK2,15.697820319851795,3.461948250889251,7,CAMK2A GFAP GRIA2 NEUROD6 NRGN NTRK2 STX1A,20.247697145019178,2.7394593880775826,22,CADPS CAMK2A CCSAP DCX DGKB DPP6 FABP7 GABBR2 GFAP GPR158 GRIA2 NELL2 NEUROD6 NRGN NTRK2 SNAP25 STX1A STXBP5L SYP SYT1 TBR1 TMEM35A,9.930663656189743,1.9087845406508102,19,ATP1B2 BRINP1 CADPS CAMK2A DCLK1 DCX DGKB FRMPD4 GABBR2 GFAP GPR158 GRIA2 INSM1 LAMP5 MYT1L NEUROD6 NTRK2 STX1A TBR1,2.1932066870280695,2.8106409269845916,1,GFAP,0.6224900913538575,1.196069313436107,1,GFAP,18.991542475598944,2.6479199711794834,22,CADPS CAMK2A CCSAP DCX DGKB DPP6 FABP7 GABBR2 GFAP GPR158 GRIA2 NELL2 NEUROD6 NRGN NTRK2 SNAP25 STX1A STXBP5L SYP SYT1 TBR1 TMEM35A,18.897447820791225,2.640948777547578,22,CADPS CAMK2A CCSAP DCX DGKB DPP6 FABP7 GABBR2 GFAP GPR158 GRIA2 NELL2 NEUROD6 NRGN NTRK2 SNAP25 STX1A STXBP5L SYP SYT1 TBR1 TMEM35A,-0.0,0.0,0,,calcium-ion regulated exocytosis,1,1,0.020833333333333332,0.020833333333333332,0.0,0.9583333333333334
C277,2.1978943718910795,2.8133573820044298,1,OLIG1,15.716525215773629,3.691960268317718,7,BCAS1 ERMN MOBP MOG NKX6-2 OLIG1 OLIG2,1.2475072420543165,1.953321966647687,1,OLIG2,2.450957333348653,1.454388961717786,5,BCAS1 CNTNAP4 GPR37 OLIG1 OLIG2,7.457263389575665,2.174164059641333,12,BCAS1 CARNS1 CLDN11 CNTNAP4 GPR37 HAPLN2 MOG NFASC NKX6-2 OLIG1 OLIG2 SPOCK3,12.383578327515743,4.712197296294952,3,NFASC OLIG1 OLIG2,5.967717978109258,3.0274280043641237,3,NFASC OLIG1 OLIG2,2.206545868474867,1.3642761882848244,5,BCAS1 CNTNAP4 GPR37 OLIG1 OLIG2,2.188447077063333,1.3574084726449165,5,BCAS1 CNTNAP4 GPR37 OLIG1 OLIG2,13.100409296708827,4.913081052373656,3,BCAS1 OLIG1 OLIG2,oligodendrocyte differentiation,0,1,0.0,0.038461538461538464,0.0,0.9615384615384616
C311,-0.0,0.0,0,,5.473499727801757,4.257062335585488,2,GFAP MOG,3.130964206023004,3.7870265152534612,1,GFAP,0.7450461641897872,1.5001012483966356,1,GFAP,2.552169191927948,2.729102368741863,3,CNTN2 GFAP MOG,5.463914683012224,5.276785119321316,1,GFAP,2.960207300033971,3.662225283509277,1,GFAP,0.6833335889734622,1.4103217689661633,1,GFAP,0.6787245490305899,1.4034782832454926,1,GFAP,-0.0,0.0,0,,C311,1,0,0.2,0.0,0.0,0.8
C279,10.091531218439064,4.131998753851047,3,BRINP1 DCX GRIA2,4.917825335243382,2.721349132102935,3,EPB41L3 NTRK2 PLP1,3.729627458987471,2.7839417806102835,2,GRIA2 NTRK2,5.06924076115975,2.0044171807665556,7,DCX DPP6 EDIL3 FABP7 GRIA2 NTRK2 TMEM35A,8.92314641802958,2.496143332013993,13,ATP1B2 BRINP1 DCLK1 DCX DTNA EDIL3 EPB41L3 GPM6B GRIA2 INSM1 NTRK2 PLP1 REEP6,3.1481429101378673,3.5265736306372126,1,PLP1,1.2056291124491958,1.912008597379633,1,PLP1,4.673732422434689,1.914140288436439,7,DCX DPP6 EDIL3 FABP7 GRIA2 NTRK2 TMEM35A,4.644260111023629,1.9072606702507038,7,DCX DPP6 EDIL3 FABP7 GRIA2 NTRK2 TMEM35A,3.4092326182980845,3.7091082480477198,1,PLP1,C279,1,1,0.041666666666666664,0.041666666666666664,0.0,0.9166666666666666
C292,8.624912301055478,4.957106648306887,2,DCX GRIA2,-0.0,0.0,0,,2.577750391063745,3.2272503638271166,1,GRIA2,4.350010058509171,2.8894182818431116,4,DCX DPP6 FABP7 GRIA2,2.9909318602460955,2.3241166724855002,4,ATP1B2 DCX GRIA2 INSM1,-0.0,0.0,0,,-0.0,0.0,0,,4.116237098774549,2.799392624234345,4,DCX DPP6 FABP7 GRIA2,4.098689498079302,2.7925312668044624,4,DCX DPP6 FABP7 GRIA2,-0.0,0.0,0,,C292,0,1,0.0,0.125,0.0,0.875
C281,6.546388912183743,3.9150664976458103,2,TARDBP TUBB2B,-0.0,0.0,0,,-0.0,0.0,0,,0.0016082792217976933,-0.004762047151423587,1,IMMP2L,0.5188429856569082,0.6488435473901486,3,IMMT TARDBP TUBB2B,-0.0,0.0,0,,-0.0,0.0,0,,0.033054698028157574,-0.09454542814452083,1,IMMP2L,0.03554023868606925,-0.1013892258807072,1,IMMP2L,-0.0,0.0,0,,Regulation of HSF1-mediated heat shock response,0,2,0.0,0.10526315789473684,0.0,0.8947368421052632
C278,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.39653967755448194,-0.8568923517809655,1,IMMT,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C278,2,0,0.08,0.0,0.0,0.92
C286,-0.0,0.0,0,,1.6998941784084711,2.459315171317364,1,CSF1R,2.306573550969077,2.9758290122635636,1,EFNA3,0.289366405216782,0.688890424944411,1,EFNA3,0.6262119454665809,0.9363969485330266,2,CSF1R EFNA3,-0.0,0.0,0,,-0.0,0.0,0,,0.2441577820447463,0.5991095528043644,1,EFNA3,0.2408078759067303,0.592265955706166,1,EFNA3,-0.0,0.0,0,,C286,0,0,0.0,0.0,0.1,0.9
C294,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C294,1,0,0.125,0.0,0.0,0.875
C296,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C296,1,0,0.125,0.0,0.0,0.875
C328,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C328,1,0,0.25,0.0,0.0,0.75
C282,11.393421530198536,4.537837065919504,3,BRINP1 DCX GRIA2,1.165029675316107,1.883575278267994,1,NTRK2,4.520867973043549,3.167308474551474,2,GRIA2 NTRK2,5.153122928667311,2.284909808798787,6,DCX DPP6 EDIL3 FABP7 GRIA2 NTRK2,6.29596196215502,2.4446522087421947,9,ATP1B2 BRINP1 DCX DTNA EDIL3 GPM6B GRIA2 INSM1 NTRK2,-0.0,0.0,0,,-0.0,0.0,0,,4.799236282734526,2.1947172865716382,6,DCX DPP6 EDIL3 FABP7 GRIA2 NTRK2,4.772790706922298,2.187843803588162,6,DCX DPP6 EDIL3 FABP7 GRIA2 NTRK2,-0.0,0.0,0,,C282,0,1,0.0,0.058823529411764705,0.0,0.9411764705882353
C337,4.647586330603622,4.934793626228044,1,TARDBP,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.5385849367819804,1.2237754316221157,1,TARDBP,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C337,0,1,0.0,0.25,0.0,0.75
C331,4.647586330603622,4.934793626228044,1,TARDBP,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.6942673830633477,2.323041490583309,2,IMMT TARDBP,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C331,0,1,0.0,0.25,0.0,0.75
C301,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.5070697616795914,1.0945239068427846,1,IMMP2L,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.4528857605849056,1.004743870422507,1,IMMP2L,0.4488530827411688,0.997900340158365,1,IMMP2L,-0.0,0.0,0,,C301,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C316,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C316,1,0,0.25,0.0,0.0,0.75
C309,-0.0,0.0,0,,2.4539223884024857,3.270513692651881,1,FIG4,-0.0,0.0,0,,-0.0,0.0,0,,0.3951320402014821,0.9360350007915148,1,FIG4,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C309,1,1,0.2,0.2,0.0,0.6
C338,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.9147272087259011,1.7878394328479814,1,IMMP2L,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.8490730354928262,1.6980602318654157,1,IMMP2L,0.8441595679343491,1.6912167684127137,1,IMMP2L,-0.0,0.0,0,,C338,0,1,0.0,0.25,0.0,0.75
