Cluster,genes,Top.pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds,comparison
C254,GPAT3 PNPLA1 PNPLA8 MBOAT2 LPCAT4 PNPLA5 LPCAT3 AWAT2 MBOAT1 PLPP4 GPAT2 PLA2G4C PLA2G4E LPCAT2 PLD6 PLA2G4F PLBD1 PLD4 GPAT4 PLA2G4D,O-acyltransferase activity,3.0495178433371786e-19,0.16129032258064516,10,0,1,1,0,0.05,0,0.95,CD_1B_otherlipid_PD
C263,PLB1 CHPT1 SFI1 PLA2G4B SELENOI CRLS1 CEPT1 PTDSS2 PLA2G4E PLAAT3,Glycerophospholipid metabolism,7.479440983605461e-17,0.09090909090909093,9,0,1,1,0,0.1,0,0.9,CD_1B_otherlipid_PD
C258,HSD17B3 CYP17A1 ASB16-AS1 SRD5A2 SHBG FDX1 CYB5B STAR GSTA3 HSD11B2 CYP11A1 HMGCR,Steroid hormone biosynthesis,2.4348408162025523e-8,0.08064516129032258,5,0,1,1,0,0.08333333333333333,0,0.9166666666666666,CD_1B_otherlipid_PD
C283,LSS ABCG1 SC5D ZBTB7C SREBF1,cholesterol biosynthetic process,6.140256947352348e-8,0.06557377049180328,4,0,2,2,0,0.4,0,0.6,CD_1B_otherlipid_PD
C273,NR1H2 PLD3 VAMP3 MTCH1 AP2S1 SLC39A1 GRN,C273,NA,NA,NA,0,1,1,0,0.14285714285714285,0,0.8571428571428572,CD_1B_otherlipid_PD
C301,GLG1 VAMP2 FYB2 DNAJC13,C301,NA,NA,NA,0,1,1,0,0.25,0,0.75,CD_1B_otherlipid_PD
C295,CTSB CTNS NPC1 AC138894.1,C295,NA,NA,NA,0,1,1,0,0.25,0,0.75,CD_1B_otherlipid_PD
C272,ASIC1 KIF1A OMG PTPRN CDH10 CALB2 FLRT1,C272,NA,NA,NA,0,1,1,0,0.14285714285714285,0,0.8571428571428572,CD_1B_otherlipid_PD
C274,ASIC1 KIF1A OMG FLRT1 GNAZ SOX11 ADGRL1,C274,NA,NA,NA,0,1,1,0,0.14285714285714285,0,0.8571428571428572,CD_1B_otherlipid_PD
C309,HPCAL4 FAM131C PHYHIP DYNC1I1,C309,NA,NA,NA,0,1,1,0,0.25,0,0.75,CD_1B_otherlipid_PD
C271,HSD17B3 ASB16-AS1 CYP17A1 SRD5A2 SHBG STAR GSTA3,hormone biosynthetic process,7.165814880830077e-6,0.043478260869565216,3,0,1,1,0,0.14285714285714285,0,0.8571428571428572,CD_1B_otherlipid_PD
C278,SPTB CACNB4 ATP2A1 ACHE CACNA1B CACNA1D MYO7A,C278,NA,NA,NA,0,1,1,0,0.14285714285714285,0,0.8571428571428572,CD_1B_otherlipid_PD
C311,WDTC1 ACHE FAM151B PYGM,C311,NA,NA,NA,0,1,1,0,0.25,0,0.75,CD_1B_otherlipid_PD
C281,ZNF135 IQSEC3 PLA2G6 ANKEF1 AC138696.1,C281,NA,NA,NA,0,0,0,0,0,0.2,0.8,CD_1B_otherlipid_PD
C291,DPP10 ZNF3 BAG3 TMEM270,C291,NA,NA,NA,0,1,1,0,0.25,0,0.75,CD_1B_otherlipid_PD
C310,CACNB4 CACNA1D ATP2A1 MYO7A,C310,NA,NA,NA,0,1,1,0,0.25,0,0.75,CD_1B_otherlipid_PD
