GENE	DLB	AD	FTLD	ALS	PD
HEXB	0.012123	0.45629	0.13142	0.93929	0.94076
HGSNAT	0.59595	0.53522	0.4128	0.10322	0.046331
HIBCH	0.83511	0.74569	0.22805	0.050574	0.32445
HLCS	0.62141	0.29518	0.90994	0.52143	0.085672
HPDL	0.61087	0.2521	0.78601	0.56419	0.30456
HSD17B4	0.18538	0.91014	0.4782	0.15137	0.11236
HTT	0.17116	0.83957	0.8486	0.61552	0.15542
IDUA	0.034812	0.12761	0.43087	3.7017e-05	5e-10
IFIH1	0.039989	0.43033	0.29522	0.60516	0.21159
IRF2BPL	0.47055	0.83249	0.54114	0.18853	0.741
IVD	0.61738	0.50105	0.018395	0.24472	0.80815
KARS1	0.59347	0.22335	0.61169	0.53663	0.39918
KCTD7	0.93463	0.90139	0.81756	0.85088	0.16376
KIF1A	0.38144	0.15647	0.39137	0.15758	0.34868
L2HGDH	0.627	0.09124	0.17031	0.32081	0.13095
LRPPRC	0.42627	0.34809	0.50477	0.2086	0.68794
MAN2B1	0.90229	0.59228	0.12465	0.017806	0.94888
MANBA	0.98061	0.83969	0.56903	0.53418	0.26428
MCCC1	0.23935	0.47107	0.8547	0.20914	1.4336e-12
MCCC2	0.62784	0.76387	0.15059	0.15222	0.31188
MCOLN1	0.78035	0.62552	0.0056317	0.74616	0.86407
MED27	0.14071	0.33319	0.78455	0.34455	0.65381
MFSD8	0.048349	0.98804	0.35791	0.13263	0.14304
MGAT2	0.41029	0.67537	0.85339	0.43529	0.80039
MMACHC	0.11796	0.89281	0.74109	0.32984	0.82591
MMADHC	0.5332	0.70608	0.6868	0.85418	0.69051
MMUT	0.11069	0.049709	0.05251	0.53913	0.025844
MOCS1	0.2833	0.62577	0.62622	0.49259	0.64158
MOCS2	0.82922	0.058628	0.76218	0.68873	0.67301
MTHFR	0.18004	0.015887	0.64177	0.44958	0.30763
MTR	0.65499	0.24197	0.74243	0.74328	0.56251
MTRR	0.045124	0.92899	0.61596	0.097719	0.44515
MTTP	0.38766	0.39361	0.44356	0.012138	0.014814
NAGA	0.30112	0.77327	0.99847	0.25336	0.20874
NAGLU	0.12046	0.31179	0.051664	0.53092	1.9763e-06
NAGS	0.52115	0.083117	0.71263	0.55744	0.34526
NAXD	0.13435	0.045487	0.87261	0.18937	0.4683
NAXE	0.44467	0.19924	0.67551	0.12038	0.51871
NBN	0.68799	0.4002	0.59907	0.47903	0.57242
NHLRC1	0.79586	0.41519	0.65082	0.18657	0.24152
NLRP3	0.84631	0.14853	0.27959	0.038407	0.53075
NPC1	0.48565	0.72647	0.59223	0.73579	0.95498
NPC2	0.45033	0.892	0.028356	0.80778	0.13081
PAH	0.94423	0.019634	0.51921	0.21314	0.76371
PANK2	0.36437	0.62371	0.33448	0.0035125	0.579
PCCA	0.39206	0.81356	0.25814	0.80413	0.19191
PCCB	0.63191	0.19522	0.65295	0.43612	0.42938
PDHB	0.55325	0.92775	0.36423	0.076024	0.00036251
PDHX	0.86433	0.24256	0.53175	0.99883	0.45727
PDP1	0.043308	0.48702	0.65433	0.56817	0.68627
PEX1	0.40038	0.57511	0.48203	0.49666	0.56469
PEX10	0.36683	0.57086	0.8351	0.14431	0.84634
PEX11B	0.90852	0.80298	0.4566	0.48485	0.23446
PEX12	0.52468	0.29701	0.64377	0.41589	0.0022513
PEX13	0.11544	0.024767	0.96251	0.25124	0.023994
PEX14	0.78041	0.26238	7.5048e-05	0.24999	0.75348
PEX16	0.47671	0.083629	0.51365	0.17928	0.1158
PEX19	0.059484	0.12305	0.43124	0.032638	0.26858
PEX2	0.14636	0.9215	0.71737	0.092812	0.011379
PEX26	0.34989	0.19396	0.10672	0.081631	0.081531
PEX3	0.29867	0.34578	0.11297	0.79302	0.73543
PEX5	0.25591	0.9595	0.9521	0.72201	0.64254
PEX6	0.37083	0.17097	0.82081	0.75325	6.0389e-05
PLA2G6	0.17655	0.37397	0.55593	0.11679	0.092744
POLG	0.92928	0.4702	0.9961	0.46315	0.88433
POLR1C	0.73265	0.058916	0.1376	0.0038107	0.70318
POLR3A	0.073785	0.14509	0.94378	0.42678	0.46901
POLR3B	0.30562	0.58015	0.33055	0.52941	0.11247
PPT1	0.79742	0.52689	0.15232	0.017709	0.021769
PRDX1	0.13765	0.734	0.74378	0.18434	0.80871
PSAP	0.33733	0.09633	0.23209	0.64569	0.02707
PTS	0.54441	0.44092	0.44444	0.57102	0.25928
PYCR2	0.54601	0.10829	0.76327	0.26403	0.48696
QDPR	0.85716	0.063848	0.6832	0.98424	0.35055
RNASEH2A	0.15926	0.18756	0.36999	0.054725	0.93998
RNASEH2B	0.31342	0.02504	0.63287	0.57153	0.96775
RNASEH2C	0.57664	0.23115	0.97011	0.88833	0.29315
RRM2B	0.57973	0.038901	0.61839	0.10353	0.25722
SAMHD1	0.24584	0.75499	0.29249	0.20131	0.60825
SERAC1	0.38636	0.54102	0.045833	0.45277	0.062522
SERPINI1	0.63575	0.061924	0.66873	0.35562	0.89975
SETBP1	0.70141	0.38592	0.64733	0.7233	0.059574
SGSH	0.83684	0.51746	0.93544	0.64682	0.18871
SLC17A5	0.86222	0.2506	0.57985	0.50151	0.83484
