GENE	DLB	AD	FTLD	ALS	PD
CTSD	0.34493	0.074597	0.066706	0.87125	0.1942
CYP27A1	0.74639	0.01045	0.8423	0.0056194	0.53587
DBT	0.13549	0.046275	0.67045	0.84227	0.39489
DCAF17	0.64789	0.71799	0.64707	0.93351	0.56431
DLAT	0.90716	0.22264	0.65728	0.5733	0.39894
DLD	0.73341	0.62847	0.46195	0.34244	0.28279
DNAJC6	0.5568	0.38041	0.84405	0.34933	0.63251
DPAGT1	0.50652	0.25725	0.074454	0.45961	0.052211
DPM1	0.88255	0.0046761	0.79069	0.44678	0.38321
EIF2B1	0.26989	0.94518	0.029643	0.53775	0.0094967
EIF2B2	0.83548	0.028216	0.77209	0.19346	0.58802
EIF2B3	0.2451	0.0085718	0.19871	0.59256	0.080681
EIF2B4	0.55798	0.83242	0.31073	0.32085	0.33441
EIF2B5	0.33625	0.27857	0.75063	0.46938	0.62157
EPM2A	0.86757	0.40002	0.43492	0.18295	0.096376
EPRS1	0.4536	0.95371	0.71428	0.0048132	0.22068
ERCC2	0.82421	4.304e-12	0.14777	0.14046	0.01792
ERCC5	0.19819	0.95887	0.74457	0.60418	0.33617
ERCC6	0.70951	0.701	0.34089	0.1996	0.42026
ERCC8	0.14437	0.12205	0.48909	0.62531	9.6728e-19
FA2H	0.36462	0.826	0.75832	0.13663	0.17423
FAH	0.32138	0.031987	0.63402	0.84834	0.78656
FAR1	0.283	0.72934	0.65463	0.709	0.39606
FOLR1	0.072454	0.17094	0.62355	0.71224	0.51011
FUCA1	0.46489	0.021908	0.098708	0.10448	0.25929
GABBR2	0.033476	0.85054	0.47806	0.16897	0.29329
GALC	0.68299	0.36283	0.76939	0.47972	1.9884e-05
GAN	0.27314	0.75904	0.91628	0.77254	0.031255
GBA	1.2824e-12	0.22582	0.61686	0.033902	1.3894e-42
GBA2	0.77017	0.79659	0.13679	0.37219	0.01726
GCDH	0.25303	0.43973	0.38694	0.77332	0.83356
GCH1	0.23727	0.7448	0.77601	0.18348	1.692e-16
GCSH	0.32395	0.84493	0.94776	0.24939	0.46113
GFAP	0.035818	0.3952	0.33334	0.26086	0.00019062
GLB1	0.77688	0.1915	0.22479	0.2163	0.26609
GLDC	0.58672	0.8613	0.5539	0.65238	0.021038
GM2A	0.27859	0.14937	0.05454	0.54578	0.27973
GNPTAB	0.69106	0.6031	0.5124	0.72615	0.11414
GNS	0.20947	0.14866	0.64912	0.012334	0.25275
GPHN	0.030948	0.37899	0.80733	0.38154	0.024922
GSS	0.88409	0.041393	0.20768	0.097818	0.086961
GUSB	0.16389	0.44066	0.9358	0.6969	0.19273
HEPACAM	0.57221	0.16752	0.83474	0.4975	0.48835
HEXA	0.3369	0.96627	0.76418	0.089952	0.11684
HEXB	0.011674	0.7579	0.68801	0.11915	0.65813
HGSNAT	0.74549	0.27103	0.13749	0.098372	0.13796
HIBCH	0.62312	0.3082	0.73666	0.43302	0.16888
HLCS	0.58917	0.12453	0.54314	0.53944	0.014966
HPDL	0.63634	0.34919	0.68342	0.7767	0.57991
HSD17B4	0.3839	0.45045	0.39138	0.64778	0.34572
HTT	0.45686	0.71076	0.32996	0.0034874	0.03729
IDUA	0.029058	0.083371	0.45567	0.0018808	1.3805e-25
IFIH1	0.087285	0.59405	0.7395	0.47527	0.15815
IRF2BPL	0.73164	0.96727	0.42528	0.36915	0.83919
IVD	0.34285	0.36601	0.086386	0.48571	0.39278
KARS1	0.46746	0.20173	0.14188	0.27576	0.31681
KCTD7	0.90572	0.77849	0.61441	0.65066	0.64968
KIF1A	0.22916	0.18828	0.71525	0.28304	0.31058
L2HGDH	0.6424	0.35803	0.34451	0.11675	0.36359
LRPPRC	0.8897	0.41324	0.070801	0.61319	0.67636
MAN2B1	0.88759	0.78182	0.29053	0.048721	0.68867
MANBA	0.95253	0.85843	0.71691	0.71635	0.071507
MCCC1	0.050544	0.92659	0.96625	0.22258	1.1046e-22
MCCC2	0.64336	0.63609	0.067112	0.055703	0.16086
MCOLN1	0.81359	0.55313	0.010052	0.72817	0.47519
MED27	0.61228	0.38481	0.84184	0.48201	0.72285
MFSD8	0.68992	0.96207	0.3304	0.04767	0.0036621
MGAT2	0.16535	0.84822	0.66101	0.10598	0.85554
MMACHC	0.17467	0.34404	0.92827	0.098743	0.90073
MMADHC	0.64707	0.88459	0.64976	0.63341	0.8744
MMUT	0.019852	0.51957	0.17194	0.28204	0.0060177
MOCS1	0.66447	0.64587	0.94856	0.35289	0.33261
MOCS2	0.85367	0.10705	0.18436	0.93933	0.39831
MTHFR	0.60435	0.061648	0.52351	0.5434	0.25125
MTR	0.47764	0.26084	0.1565	0.18933	0.30744
MTRR	0.5042	0.82112	0.9147	0.1126	0.41658
MTTP	0.42845	0.55536	0.63944	0.064	0.030524
NAGA	0.72824	0.73059	0.97673	0.39296	0.048536
NAGLU	0.37898	0.38202	0.15402	0.2184	6.7054e-08
NAGS	0.65061	0.30084	0.28539	0.58564	0.19179
NAXD	0.1533	0.31791	0.43935	0.66044	1.7775e-05
NAXE	0.57577	0.76604	0.51075	0.51291	0.49782
NBN	0.87615	0.49612	0.11373	0.78598	0.5945
NHLRC1	0.97048	0.30036	0.64952	0.18334	0.022122
NLRP3	0.23594	0.26773	0.069146	0.34429	0.59303
NPC1	0.74469	0.058803	0.76509	0.44894	0.76359
NPC2	0.68009	0.7425	0.11143	0.18334	0.51949
PAH	0.94878	0.17771	0.69569	0.2357	0.37887
PANK2	0.3467	0.42601	0.77409	0.010012	0.6094
PCCA	0.12876	0.81343	0.21364	0.71035	0.43396
PCCB	0.23013	0.51011	0.82862	0.77802	0.61575
PDHB	0.089813	0.85598	0.28616	0.031501	0.0025998
PDHX	0.47809	0.1165	0.37142	0.96446	0.66297
PDP1	0.26076	0.60642	0.86359	0.7201	0.70271
PEX1	0.52228	0.59465	0.011668	0.69767	0.83761
PEX10	0.41099	0.45965	0.91293	0.195	0.65694
PEX11B	0.92998	0.64855	0.4566	0.17111	0.013976
PEX12	0.38868	0.4553	0.89408	0.63966	0.0066057
PEX13	0.077149	0.25955	0.72425	0.62909	0.093003
PEX14	0.5605	0.56819	0.00041996	0.18009	0.16928
PEX16	0.66925	0.32715	0.46786	0.48568	0.37423
PEX19	0.22815	0.096279	0.58821	0.0063104	0.55659
PEX2	0.05193	0.67485	0.68757	0.73903	0.018122
PEX26	0.67545	0.14149	0.43261	0.083761	0.39982
PEX3	0.67652	0.93004	0.54039	0.53411	0.091521
PEX5	0.43827	0.72958	0.9066	0.65809	0.57067
PEX6	0.29846	0.48145	0.63686	0.13554	0.00026967
PLA2G6	0.091686	0.50754	0.91662	0.33768	0.26836
POLG	0.9008	0.8987	0.84627	0.66607	0.97286
POLR1C	0.43612	0.33435	0.19145	0.11452	0.74149
POLR3A	0.012066	0.54942	0.61001	0.44463	0.5325
POLR3B	0.045284	0.012308	0.080683	0.020398	0.0010368
PPT1	0.92412	0.029231	0.23347	0.12649	0.014499
PRDX1	0.12551	0.34605	0.40474	0.063539	0.80958
PSAP	0.025723	0.12548	0.33731	0.45796	0.041199
PTS	0.5419	0.39777	0.6051	0.63248	0.66695
PYCR2	0.44968	0.1149	0.50034	0.68738	0.30854
QDPR	0.1539	0.20079	0.47903	0.41647	0.62787
RNASEH2A	0.26978	0.57804	0.0095827	0.19363	0.95684
RNASEH2B	0.75031	0.13758	0.82578	0.85825	0.13613
RNASEH2C	0.19125	0.482	0.9386	0.34182	0.28611
RRM2B	0.45416	0.26132	0.26106	0.5292	0.044527
SAMHD1	0.66296	0.80606	0.46356	0.17656	0.47378
SERAC1	0.91706	0.16746	0.045067	0.49906	0.4922
SERPINI1	0.55939	0.53806	0.17763	0.63223	0.55689
SETBP1	0.36132	0.3841	0.69431	0.20568	0.19002
SGSH	0.7695	0.32517	0.70739	0.68106	0.030195
SLC17A5	0.90113	0.38843	0.36039	0.43888	0.39831
SLC19A3	0.79916	0.55074	0.70967	0.3134	0.46272
SLC1A3	0.8029	0.15519	0.34861	0.26171	0.15098
SLC25A13	0.54992	0.27875	0.032552	0.18858	0.46335
SLC25A15	0.78879	0.22249	0.57666	0.26101	0.66748
SLC25A42	0.60484	0.40846	0.45806	0.41708	0.16003
SLC39A14	0.70275	0.55055	0.33459	0.18892	0.0083569
SLC44A1	0.56486	0.06114	0.59861	0.26408	0.053053
SLC5A6	0.39247	0.47654	0.10318	0.64875	0.85885
SMPD1	0.90341	0.40025	0.12909	0.28889	0.0051318
SPG11	0.46366	0.76622	0.57982	0.87467	0.57324
SQSTM1	0.69986	0.02658	0.060388	0.20418	0.25967
ST3GAL5	0.9387	0.96656	0.37794	0.67646	0.095427
SUMF1	0.39301	0.75012	0.9902	0.623	0.67108
SUOX	0.0067871	0.15309	0.44558	0.92106	0.6778
SURF1	0.71722	0.97849	0.24927	0.39636	0.79886
SYNJ1	0.049633	0.54939	0.51302	0.24108	0.39274
TANGO2	0.59456	0.20619	0.49483	0.10976	0.41289
TBC1D2B	0.31564	0.060652	0.92086	0.66488	0.63131
TBCD	0.7057	0.3365	0.11706	0.33828	0.078896
TBCE	0.52434	0.55514	0.72071	0.9647	0.058433
TBP	0.95603	0.93233	0.81277	0.13518	0.41372
TPP1	0.42276	0.31175	0.58453	8.4537e-06	0.0016168
TRAPPC12	0.60218	0.64397	0.20735	0.79481	0.43476
TREX1	0.4853	0.38832	0.35757	0.087427	0.10117
TUBB4A	0.010163	0.94853	0.30846	0.97788	0.076598
TYMP	0.23001	0.41488	0.11059	0.11038	0.69531
UBTF	0.021403	0.68346	0.89851	0.66087	0.0026274
XPA	0.57675	0.85492	0.59119	0.77229	0.031396
ZFYVE26	0.52539	0.94722	0.013183	0.49337	0.87482
ZNHIT3	0.74382	0.86474	0.33698	4.1204e-06	0.66506
