,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,increased synaptic depression:-log(OR_p),increased synaptic depression:log_OR,increased synaptic depression:num_genes,increased synaptic depression:gene_ids,abnormal glial cell morphology:-log(OR_p),abnormal glial cell morphology:log_OR,abnormal glial cell morphology:num_genes,abnormal glial cell morphology:gene_ids,abnormal somatic nervous system morphology:-log(OR_p),abnormal somatic nervous system morphology:log_OR,abnormal somatic nervous system morphology:num_genes,abnormal somatic nervous system morphology:gene_ids,increased oligodendrocyte number:-log(OR_p),increased oligodendrocyte number:log_OR,increased oligodendrocyte number:num_genes,increased oligodendrocyte number:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,neuron degeneration:-log(OR_p),neuron degeneration:log_OR,neuron degeneration:num_genes,neuron degeneration:gene_ids,neuronal intranuclear inclusions:-log(OR_p),neuronal intranuclear inclusions:log_OR,neuronal intranuclear inclusions:num_genes,neuronal intranuclear inclusions:gene_ids,impaired synaptic plasticity:-log(OR_p),impaired synaptic plasticity:log_OR,impaired synaptic plasticity:num_genes,impaired synaptic plasticity:gene_ids,impaired synaptic physiology:-log(OR_p),impaired synaptic physiology:log_OR,impaired synaptic physiology:num_genes,impaired synaptic physiology:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C195,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,2.093383620162625,2.4199530025763085,2,CDC14A EPHB3,-0.0,0.0,0,,1.4466731956116547,1.917518027501825,2,CDC14A EPHB3,1.4698723129178655,2.3739816154521547,1,CDC14A,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C195,0,1,0.0,0.2,0.0,0.8
C174,0.3389817470763553,0.7571224800549174,1,ATP2B1,3.7402310408464827,3.9433406355714666,1,PCLO,0.21461495701888128,0.520286225320838,1,ATP2B1,2.1726604052107485,1.3455963668477935,5,ATP11A ATP2B1 ATP8A2 MARVELD2 SLC12A2,-0.0,0.0,0,,2.426331512819378,1.2751508612266793,7,ATP2B1 ATP8A2 ATP9A MARVELD2 PCLO SLC12A2 SLC7A5,1.029822253749169,1.2357437506365887,2,ATP8A2 MARVELD2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,Ion transport by P-type ATPases,0,2,0.0,0.07407407407407407,0.0,0.9259259259259259
C208,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C208,0,1,0.0,0.25,0.0,0.75
C181,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,3.9767244818711673,2.6040630943550003,4,ABCB5 DNM2 EPHB3 RET,-0.0,0.0,0,,2.756826679248112,2.10091475938657,4,ABCB5 DNM2 EPHB3 RET,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C181,0,1,0.0,0.1111111111111111,0.0,0.8888888888888888
C183,1.2748367858202707,2.0703375921416676,1,PSEN1,5.734921516774562,5.256538281509676,1,PSEN1,1.0621609698988834,1.8335062061102905,1,PSEN1,0.38562289957122214,0.8783335194356514,1,PSEN1,-0.0,0.0,0,,0.139688592790623,0.37624411728264384,1,PSEN1,1.0456305008427367,1.8142026554514281,1,PSEN1,-0.0,0.0,0,,3.5641363899040557,3.9232268536279724,1,PSEN1,3.5080347129188114,3.886078960772557,1,PSEN1,membrane protein proteolysis,0,1,0.0,0.125,0.0,0.875
C186,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.46940706985678093,1.0325405103252336,1,SLC19A2,-0.0,0.0,0,,0.20519836781428574,0.5304531657076126,1,SLC19A2,1.163177374269582,1.96840772892552,1,SLC19A2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C186,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C188,1.4011843828098949,2.224542385987176,1,PRNP,-0.0,0.0,0,,1.1803801708616328,1.987711255925328,1,PRNP,3.0472008765412824,2.5386298555178897,3,CASP3 PRNP TYR,-0.0,0.0,0,,2.1123414781124623,2.0358384748297773,3,CASP3 PRNP TYR,3.1652960868981,2.8462700393209204,2,CASP3 PRNP,6.332057344285789,5.652063784112071,1,PRNP,-0.0,0.0,0,,-0.0,0.0,0,,C188,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C190,6.052112529306182,4.022488294305617,3,MAP2K1 PRNP SNCA,-0.0,0.0,0,,5.429475386623842,3.784407096135059,3,MAP2K1 PRNP SNCA,1.8576901359847213,2.132214628573405,2,HSP90AA1 PRNP,6.7020924787086456,5.929801886715875,1,MAP2K1,2.351681685140658,2.323578905660379,3,HSP90AA1 PRNP SNCA,3.395610006724053,3.069467978365272,2,HSP90AA1 PRNP,12.949073355097655,6.84609261859003,2,PRNP SNCA,-0.0,0.0,0,,-0.0,0.0,0,,positive regulation of protein phosphorylation,0,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C176,3.5610682656037325,2.2871294991107423,3,ACVR1 CLCN3 LTN1,4.226745049892006,4.257370881772761,1,SYNJ1,2.955980323106032,2.0490447160051914,3,ACVR1 CLCN3 LTN1,0.04274616336643723,-0.12087129087246495,1,CLCN3,4.7264304135898865,4.594056020247025,1,ACVR1,1.026832383404133,0.9371217450458715,4,CLCN3 ERBIN LTN1 VAMP7,1.4412737297252516,1.5646288840548905,2,CLCN3 LTN1,-0.0,0.0,0,,2.3249708692001394,2.924058125878629,1,CLCN3,2.277790092152133,2.886910164771101,1,CLCN3,C176,0,4,0.0,0.2,0.0,0.8
C173,3.32381783893883,1.8547274937118328,4,BACE1 BPTF KMT2A LTN1,-0.0,0.0,0,,3.98945695421147,1.8705940858104437,5,AFF1 BACE1 BPTF KMT2A LTN1,1.2358005959790266,0.9096017437233588,5,ATP7A BACE1 FMR1 KMT2A MED23,-0.0,0.0,0,,3.221946728637773,1.2615301012984173,10,AFF1 ATP7A ATRX BACE1 BPTF ERBIN FMR1 KMT2A LTN1 SORL1,3.9181348369147724,1.8511101847166307,5,AFF1 ATP7A BACE1 LTN1 SORL1,3.496145171783134,3.804533697055799,1,FMR1,1.534983905250257,2.2298969358922385,1,FMR1,1.4960099500255888,2.1927488665399784,1,FMR1,C173,1,3,0.02564102564102564,0.07692307692307693,0.0,0.8974358974358975
C185,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C185,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C204,1.935489248385824,2.9178518910341262,1,BACE1,-0.0,0.0,0,,3.800153958291454,3.782071966903646,2,AFF1 BACE1,2.3240352651716076,2.8254744090659107,2,ATP7A BACE1,-0.0,0.0,0,,2.4774496461369866,4.4037916272492,4,AFF1 ATP7A BACE1 SORL1,4.009499308567434,5.8469690662544,4,AFF1 ATP7A BACE1 SORL1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C204,1,0,0.25,0.0,0.0,0.75
C175,1.6770921858296504,1.7159664204220384,2,BPTF KMT2A,-0.0,0.0,0,,2.7267168646330076,1.9377102728865916,3,AFF1 BPTF KMT2A,0.3169330695653795,0.5218754599525752,2,KMT2A MED23,-0.0,0.0,0,,1.5116106203417095,1.1001787526382856,5,AFF1 ATRX BPTF KMT2A SORL1,1.3043764353140357,1.459159507086266,2,AFF1 SORL1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C175,0,2,0.0,0.09090909090909091,0.0,0.9090909090909091
C177,0.6859707943778446,1.3077645224966652,1,ATP2B1,-0.0,0.0,0,,0.5224126831972545,1.0709310877089138,1,ATP2B1,0.6101563977859655,0.8788884701555162,2,ATP2B1 ATP8A2,-0.0,0.0,0,,1.4681707127026133,1.2250373941410508,4,ATP2B1 ATP8A2 ATP9A SLC7A5,0.5098891266493447,1.0516273476849278,1,ATP8A2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,Ion transport by P-type ATPases,0,2,0.0,0.125,0.0,0.875
C189,3.8976345696819337,3.3262704149715523,2,CLCN3 LTN1,-0.0,0.0,0,,3.432231045800976,3.0888160670567926,2,CLCN3 LTN1,0.5725090343381972,1.214918375010754,1,CLCN3,-0.0,0.0,0,,1.2221359400720981,1.6297775966712233,2,CLCN3 LTN1,3.395610006724053,3.069467978365272,2,CLCN3 LTN1,-0.0,0.0,0,,3.942510216025151,4.259805700057388,1,CLCN3,3.8848653377386557,4.222657818568836,1,CLCN3,C189,0,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C179,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.2579036846874821,0.6269064595163982,1,ATP8A2,-0.0,0.0,0,,0.6262119454665809,0.9363969485330266,2,ATP8A2 ATP9A,0.8582080149483561,1.5627794310000382,1,ATP8A2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,Ion transport by P-type ATPases,0,1,0.0,0.1,0.0,0.9
C201,4.222892163308524,4.019525803073669,2,ACVR1 ATRN,-0.0,0.0,0,,3.800153958291454,3.782071966903646,2,ACVR1 ATRN,-0.0,0.0,0,,7.127072304392954,6.440733865174867,1,ACVR1,0.5385849367819804,1.2237754316221157,1,ATRN,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C201,0,1,0.0,0.25,0.0,0.75
C194,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,3.3948749852337503,3.2318896360103953,3,ABCB5 EPHB3 RET,-0.0,0.0,0,,2.552169191927948,2.729102368741863,3,ABCB5 EPHB3 RET,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C194,0,1,0.0,0.2,0.0,0.8
C196,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C196,0,1,0.0,0.2,0.0,0.8
C197,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C197,0,1,0.0,0.25,0.0,0.75
C211,1.935489248385824,2.9178518910341262,1,PRNP,-0.0,0.0,0,,1.691301457306355,2.6810215287142913,1,PRNP,2.3240352651716076,2.8254744090659107,2,CASP3 PRNP,-0.0,0.0,0,,1.6942673830633477,2.323041490583309,2,CASP3 PRNP,3.766689433008742,3.762723925512229,2,CASP3 PRNP,6.976495665048387,6.345370509437957,1,PRNP,-0.0,0.0,0,,-0.0,0.0,0,,C211,0,1,0.0,0.25,0.0,0.75
