,impaired synaptic plasticity:-log(OR_p),impaired synaptic plasticity:log_OR,impaired synaptic plasticity:num_genes,impaired synaptic plasticity:gene_ids,abnormal synaptic plasticity:-log(OR_p),abnormal synaptic plasticity:log_OR,abnormal synaptic plasticity:num_genes,abnormal synaptic plasticity:gene_ids,impaired synaptic physiology:-log(OR_p),impaired synaptic physiology:log_OR,impaired synaptic physiology:num_genes,impaired synaptic physiology:gene_ids,abnormal excitatory postsynaptic potential:-log(OR_p),abnormal excitatory postsynaptic potential:log_OR,abnormal excitatory postsynaptic potential:num_genes,abnormal excitatory postsynaptic potential:gene_ids,dysmyelination:-log(OR_p),dysmyelination:log_OR,dysmyelination:num_genes,dysmyelination:gene_ids,decreased oligodendrocyte number:-log(OR_p),decreased oligodendrocyte number:log_OR,decreased oligodendrocyte number:num_genes,decreased oligodendrocyte number:gene_ids,abnormal CNS synaptic transmission:-log(OR_p),abnormal CNS synaptic transmission:log_OR,abnormal CNS synaptic transmission:num_genes,abnormal CNS synaptic transmission:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal myelin sheath morphology:-log(OR_p),abnormal myelin sheath morphology:log_OR,abnormal myelin sheath morphology:num_genes,abnormal myelin sheath morphology:gene_ids,abnormal synaptic transmission:-log(OR_p),abnormal synaptic transmission:log_OR,abnormal synaptic transmission:num_genes,abnormal synaptic transmission:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C210,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.9147272087259011,1.7878394328479814,1,DGKB,1.6942673830633477,2.323041490583309,2,DGKB DNAJC6,-0.0,0.0,0,,0.8490730354928262,1.6980602318654157,1,DGKB,C210,0,1,0.0,0.25,0.0,0.75
C186,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.5297191797629537,0.8185555374643503,2,CERS2 CLN8,2.640121935825673,3.2180221272387195,1,CERS2,-0.0,0.0,0,,ceramide biosynthetic process,0,1,0.0,0.09090909090909091,0.0,0.9090909090909091
C190,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.8729621609162215,1.224195761587323,2,CERS1 CLN8,-0.0,0.0,0,,-0.0,0.0,0,,Sphingolipid metabolism,0,1,0.0,0.125,0.0,0.875
C217,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.5385849367819804,1.2237754316221157,1,MAVS,-0.0,0.0,0,,-0.0,0.0,0,,C217,1,1,0.25,0.25,0.0,0.5
C228,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.5385849367819804,1.2237754316221157,1,MAVS,-0.0,0.0,0,,-0.0,0.0,0,,negative regulation of viral genome replication,1,0,0.25,0.0,0.0,0.75
C221,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C221,0,1,0.0,0.25,0.0,0.75
C229,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C229,0,1,0.0,0.25,0.0,0.75
C227,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,2.4087170320411935,2.8875143729786776,2,CTSA P2RX4,0.5385849367819804,1.2237754316221157,1,CTSD,-0.0,0.0,0,,2.286557132609024,2.7976535495685146,2,CTSA P2RX4,C227,0,1,0.0,0.25,0.0,0.75
C222,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.5385849367819804,1.2237754316221157,1,NFIA,-0.0,0.0,0,,-0.0,0.0,0,,C222,0,2,0.0,0.5,0.0,0.5
C211,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,5.988061327239887,5.7470547980006055,1,TUBB4A,5.681625525194724,5.564520407322694,1,TUBB4A,-0.0,0.0,0,,0.5385849367819804,1.2237754316221157,1,TUBB4A,3.8584961642821844,4.422368513957259,1,TUBB4A,-0.0,0.0,0,,C211,1,0,0.25,0.0,0.0,0.75
