,z
NIPSNAP2,-0.21674973275040701
SP3,-0.14885772966508398
AP5M1,1.5278765555752036
TMEM9B,0.7343345584466034
DHX29,-0.8054674416331647
TMEM184C,1.2267738231786132
GPI,-0.6678108111348746
SNAP23,-0.17894456532189465
PTER,0.07134052643650522
ARHGAP12,-0.3048860005349319
TCF12,-0.5448744611699209
CTCF,-0.9447128294843732
ATP6V1D,0.013560032786914523
RPS6KC1,-0.39616386622838723
ATP6V1A,0.2090996141107203
ALDH3A2,1.4868950684022952
PUM2,-0.6137355049048073
ISCA1,-0.1767893449047126
SPTSSA,0.6893234489293938
ARNTL,0.08752976674724786
RWDD2A,0.4305134338682378
BUB3,-0.6068201708158076
XPO7,-0.5289955624765392
RWDD2B,0.22285852566256578
APOO,-0.2517253484305717
CETN3,-0.7524403804033447
CTNNB1,-0.6574866065379418
JAK2,-0.5746565093278743
TMED10,2.3375566209813194
KIF1BP,-0.2857592368235539
TSPYL1,-0.23495411503814947
ZNF226,-0.06505539783347024
CHUK,-0.696640975689317
INSIG2,2.1572171741136734
CSGALNACT2,-0.0032318089720394195
SLC39A6,-0.15172031039657338
PREPL,-0.17861368757044457
RPS6KA3,-0.5767097807718321
CSNK1A1,-0.9541140624239957
C5orf15,0.5625302939167993
GFM2,-0.6652614610805677
ATAD1,2.3686891564793986
SLC35B3,0.4110924927164182
TTC37,-0.4540611956534139
MINDY3,-0.1491282554243696
MINDY2,-0.15290221490036504
EMC2,-0.1781797735465934
MINPP1,-0.12350633240514623
FBXO38,-0.26910759996395706
ECHDC1,-0.033026184000240634
SOAT1,2.1248468261790694
SMAD4,-0.718219203917422
RAP1B,-0.5399727384267388
RAP1A,-0.24307413600588199
AP1AR,-0.3156702523135208
DCTN4,-0.1494765948002396
LRIF1,-0.9818508656068803
NCOA4,3.2294653494235805
CCNDBP1,0.01669507126204778
CRYZL1,0.3004157397272365
ALAS1,2.5679708854773704
CRBN,0.07051326492193143
TM9SF3,0.08216470879745498
TM9SF2,2.3737031564618616
TOGARAM1,-0.1813975948040782
AUH,0.14260243964218855
TMEM59,2.706482071363679
CIAO2A,0.2218004805981304
TCEA1P2,-0.668270543676482
PRKAR1A,-0.3527977093703637
SAR1B,1.9815032343713532
SCAF8,-0.8226617569845217
CAPZA2,-0.08758314914549312
PEX7,2.6014531944751442
PRRC1,-0.0030379609456710564
SUCLA2,-0.3738036380710741
ATP6V1E1,1.710532498239098
TBCA,-0.2719264346137172
MORC3,-0.6479941083589913
ACTR10,-0.1008261279095245
CPEB4,-0.5251858724367278
TMEM251,2.4336200889720407
CAT,2.085459788851806
EI24,-0.24176300146608484
RAB2A,1.0365143394917693
C10orf88,-0.3422418551703365
EPS8,0.053587886233847234
EPS15,-0.3932664490369319
TOB1,0.03933836526378937
PRMT2,0.6219128764451688
CLIP1,1.926918706619935
HNF1A,-0.8976595661733846
ETNK1,-0.3529210418124248
ATP6V1B2,1.1148053690130675
CDC37L1,-0.19748876954757022
ARIH1,-0.7125729715774917
CD46,1.9094929038656996
HIKESHI,2.1127673490831933
FPGT,2.2752624385361324
LPIN2,0.3747269774738234
CGRRF1,0.0006901120572315925
RAB21,-0.2902517973050601
LACTB2,3.174289341541309
DMXL1,1.4440681375725055
NCK1,-0.45681394104803075
EXOC5,-0.514565157501823
MBD4,-0.9516489958399771
PPP3CB,-0.4432921285890629
SPG11,1.9491285632640554
BZW1,-0.2764045333766453
MPC2,2.3431160530524338
MARCH5,-0.1240880654706664
MARCH7,-0.5738499202163724
RCBTB1,-0.09394647379992326
SLC25A12,-0.10500432802711542
ADSS,2.127275068240109
B3GNT2,0.13680229089861598
NFE2L2,-0.12436545438464054
DYNLT3,0.23683624528866512
