,abnormal sensory neuron morphology:-log(OR_p),abnormal sensory neuron morphology:log_OR,abnormal sensory neuron morphology:num_genes,abnormal sensory neuron morphology:gene_ids,neuron degeneration:-log(OR_p),neuron degeneration:log_OR,neuron degeneration:num_genes,neuron degeneration:gene_ids,abnormal somatic nervous system morphology:-log(OR_p),abnormal somatic nervous system morphology:log_OR,abnormal somatic nervous system morphology:num_genes,abnormal somatic nervous system morphology:gene_ids,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,abnormal sphingomyelin level:-log(OR_p),abnormal sphingomyelin level:log_OR,abnormal sphingomyelin level:num_genes,abnormal sphingomyelin level:gene_ids,abnormal retina neuronal layer morphology:-log(OR_p),abnormal retina neuronal layer morphology:log_OR,abnormal retina neuronal layer morphology:num_genes,abnormal retina neuronal layer morphology:gene_ids,abnormal excitatory postsynaptic potential:-log(OR_p),abnormal excitatory postsynaptic potential:log_OR,abnormal excitatory postsynaptic potential:num_genes,abnormal excitatory postsynaptic potential:gene_ids,decreased sensory neuron number:-log(OR_p),decreased sensory neuron number:log_OR,decreased sensory neuron number:num_genes,decreased sensory neuron number:gene_ids,abnormal synaptic transmission:-log(OR_p),abnormal synaptic transmission:log_OR,abnormal synaptic transmission:num_genes,abnormal synaptic transmission:gene_ids,abnormal synaptic physiology:-log(OR_p),abnormal synaptic physiology:log_OR,abnormal synaptic physiology:num_genes,abnormal synaptic physiology:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C254,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,4.3379835169495005,4.331532083639322,1,PNPLA1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.3750940236585312,0.599526394182643,2,MBOAT1 MBOAT2,0.3696468169623695,0.5926766501963119,2,MBOAT1 MBOAT2,O-acyltransferase activity,0,1,0.0,0.05,0.0,0.95
C263,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,Glycerophospholipid metabolism,0,1,0.0,0.1,0.0,0.9
C258,-0.0,0.0,0,,-0.0,0.0,0,,0.16530919565918542,0.42612311972858663,1,CYP11A1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,Steroid hormone biosynthesis,0,1,0.0,0.08333333333333333,0.0,0.9166666666666666
C283,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,cholesterol biosynthetic process,0,2,0.0,0.4,0.0,0.6
C273,2.8714262891287343,2.686524246042003,2,GRN NR1H2,3.1652960868981,2.8462700393209204,2,GRN NR1H2,1.645825084644477,1.9090147725380309,2,GRN NR1H2,7.746803411423416,4.763721881409124,2,GRN NR1H2,-0.0,0.0,0,,2.9787963897724197,2.7457999652283167,2,GRN NR1H2,2.739681628370658,3.3814545010087826,1,GRN,1.9404585070008777,2.7364974356774088,1,NR1H2,0.4528857605849056,1.004743870422507,1,GRN,0.4488530827411688,0.997900340158365,1,GRN,C273,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C301,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,3.359013341269883,4.074762036487959,1,VAMP2,-0.0,0.0,0,,0.8490730354928262,1.6980602318654157,1,VAMP2,0.8441595679343491,1.6912167684127137,1,VAMP2,C301,0,1,0.0,0.25,0.0,0.75
C295,1.5177360348319178,2.5023098866866844,1,NPC1,3.766689433008742,3.762723925512229,2,CTSB NPC1,0.8691626431750878,1.7258566050490316,1,NPC1,-0.0,0.0,0,,6.706174300057658,6.178210064425829,1,NPC1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.8490730354928262,1.6980602318654157,1,NPC1,0.8441595679343491,1.6912167684127137,1,NPC1,C295,0,1,0.0,0.25,0.0,0.75
C272,-0.0,0.0,0,,1.163177374269582,1.96840772892552,1,KIF1A,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,2.739681628370658,3.3814545010087826,1,ASIC1,-0.0,0.0,0,,1.6082257331798717,1.8811936463515817,2,ASIC1 CALB2,1.5990345539328643,1.8743441921102848,2,ASIC1 CALB2,C272,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C274,1.0256660392346848,1.8089989014907033,1,SOX11,1.163177374269582,1.96840772892552,1,KIF1A,0.46940706985678093,1.0325405103252336,1,SOX11,-0.0,0.0,0,,-0.0,0.0,0,,1.0757515607887655,1.8681558151374222,1,SOX11,2.739681628370658,3.3814545010087826,1,ASIC1,1.9404585070008777,2.7364974356774088,1,SOX11,1.6082257331798717,1.8811936463515817,2,ADGRL1 ASIC1,1.5990345539328643,1.8743441921102848,2,ADGRL1 ASIC1,C274,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C309,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C309,0,1,0.0,0.25,0.0,0.75
C271,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,hormone biosynthetic process,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C278,2.8714262891287343,2.686524246042003,2,CACNA1D MYO7A,3.1652960868981,2.8462700393209204,2,CACNA1D MYO7A,3.0472008765412824,2.5386298555178897,3,CACNA1D CACNB4 MYO7A,-0.0,0.0,0,,-0.0,0.0,0,,1.0757515607887655,1.8681558151374222,1,MYO7A,2.739681628370658,3.3814545010087826,1,CACNA1B,1.9404585070008777,2.7364974356774088,1,MYO7A,1.6082257331798717,1.8811936463515817,2,CACNA1B CACNB4,1.5990345539328643,1.8743441921102848,2,CACNA1B CACNB4,C278,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C311,1.5177360348319178,2.5023098866866844,1,FAM151B,1.6721112022995561,2.661718072676212,1,FAM151B,0.8691626431750878,1.7258566050490316,1,FAM151B,-0.0,0.0,0,,-0.0,0.0,0,,1.5741725492944325,2.5614665502840746,1,FAM151B,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C311,0,1,0.0,0.25,0.0,0.75
C281,-0.0,0.0,0,,1.4698723129178655,2.3739816154521547,1,PLA2G6,0.7021924188390212,1.4381182310461273,1,PLA2G6,3.8451277768683387,4.2782674003830286,1,PLA2G6,-0.0,0.0,0,,1.3750817265887547,2.273729962608906,1,IQSEC3,-0.0,0.0,0,,-0.0,0.0,0,,0.6833335889734622,1.4103217689661633,1,IQSEC3,0.6787245490305899,1.4034782832454926,1,IQSEC3,C281,0,0,0.0,0.0,0.2,0.8
C291,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C291,0,1,0.0,0.25,0.0,0.75
C310,3.4960671478282768,3.6029787736086982,2,CACNA1D MYO7A,3.766689433008742,3.762723925512229,2,CACNA1D MYO7A,3.1681723147181504,3.925093111782447,3,CACNA1D CACNB4 MYO7A,-0.0,0.0,0,,-0.0,0.0,0,,1.5741725492944325,2.5614665502840746,1,MYO7A,-0.0,0.0,0,,2.5186073496889696,3.429805789579631,1,MYO7A,0.8490730354928262,1.6980602318654157,1,CACNB4,0.8441595679343491,1.6912167684127137,1,CACNB4,C310,0,1,0.0,0.25,0.0,0.75
